"Notes"	"Age"	"Age Code"	"Gender"	"Gender Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"0"	"Female"	"F"	"2003"	"2003"	1942634
	"< 1 year"	"0"	"Female"	"F"	"2004"	"2004"	1962216
	"< 1 year"	"0"	"Female"	"F"	"2005"	"2005"	1956682
	"< 1 year"	"0"	"Female"	"F"	"2006"	"2006"	1975919
	"< 1 year"	"0"	"Female"	"F"	"2007"	"2007"	2027181
	"< 1 year"	"0"	"Female"	"F"	"2008"	"2008"	2022889
	"< 1 year"	"0"	"Female"	"F"	"2009"	"2009"	1959169
	"< 1 year"	"0"	"Female"	"F"	"2010"	"2010"	1932979
	"< 1 year"	"0"	"Female"	"F"	"2011"	"2011"	1934746
	"< 1 year"	"0"	"Female"	"F"	"2012"	"2012"	1918905
	"< 1 year"	"0"	"Female"	"F"	"2013"	"2013"	1921621
	"< 1 year"	"0"	"Female"	"F"	"2014"	"2014"	1930369
	"< 1 year"	"0"	"Female"	"F"	"2015"	"2015"	1946416
	"< 1 year"	"0"	"Female"	"F"	"2016"	"2016"	1937196
	"< 1 year"	"0"	"Female"	"F"	"2017"	"2017"	1896804
	"< 1 year"	"0"	"Female"	"F"	"2018"	"2018"	1871130
	"< 1 year"	"0"	"Female"	"F"	"2019"	"2019"	1841226
	"< 1 year"	"0"	"Female"	"F"	"2020"	"2020"	1826869
	"< 1 year"	"0"	"Male"	"M"	"2003"	"2003"	2033237
	"< 1 year"	"0"	"Male"	"M"	"2004"	"2004"	2052042
	"< 1 year"	"0"	"Male"	"M"	"2005"	"2005"	2047711
	"< 1 year"	"0"	"Male"	"M"	"2006"	"2006"	2065819
	"< 1 year"	"0"	"Male"	"M"	"2007"	"2007"	2120816
	"< 1 year"	"0"	"Male"	"M"	"2008"	"2008"	2109846
	"< 1 year"	"0"	"Male"	"M"	"2009"	"2009"	2044418
	"< 1 year"	"0"	"Male"	"M"	"2010"	"2010"	2018516
	"< 1 year"	"0"	"Male"	"M"	"2011"	"2011"	2028518
	"< 1 year"	"0"	"Male"	"M"	"2012"	"2012"	2007826
	"< 1 year"	"0"	"Male"	"M"	"2013"	"2013"	2009790
	"< 1 year"	"0"	"Male"	"M"	"2014"	"2014"	2024604
	"< 1 year"	"0"	"Male"	"M"	"2015"	"2015"	2037728
	"< 1 year"	"0"	"Male"	"M"	"2016"	"2016"	2026072
	"< 1 year"	"0"	"Male"	"M"	"2017"	"2017"	1985633
	"< 1 year"	"0"	"Male"	"M"	"2018"	"2018"	1955778
	"< 1 year"	"0"	"Male"	"M"	"2019"	"2019"	1921001
