"Year","None","1st-4th_grade","5th-6th_grade","7th-8th_grade","9th_grade","10th_grade","11th_grade","High.school.graduate","Some.college.no.degree","Associate.degree..occupational","Associate.degree..academic","Bachelor.s.degree","Master.s.degree","Professional.degree","Doctorate.degree"
2003,0.002071037,0.008905457,0.016257637,0.017500259,0.017396707,0.016775396,0.0311691,0.32183908,0.178834006,0.049911981,0.052086569,0.171481827,0.096613855,0.010562286,0.008801905
2004,0.003652597,0.006392045,0.013900162,0.013392857,0.015320617,0.016233766,0.02932224,0.318181818,0.178977273,0.051948052,0.051846591,0.182224026,0.095373377,0.011870942,0.011465097
2005,0.005244409,0.005442311,0.014941619,0.016326934,0.014644765,0.018503859,0.034434989,0.318028894,0.179299426,0.055907382,0.051751435,0.174153968,0.091035029,0.009796161,0.010389867
2006,0.002800039,0.006758714,0.016703679,0.016896785,0.013131216,0.01863474,0.037462586,0.302017959,0.187119822,0.052814522,0.050786907,0.187892247,0.086318432,0.011007048,0.009558753
2007,0.003670934,0.007435994,0.013836596,0.018448795,0.009789157,0.017413404,0.036991717,0.30685241,0.175545934,0.060429217,0.051769578,0.194277108,0.084996235,0.011295181,0.007247741
2008,0.003775322,0.006906077,0.014364641,0.014825046,0.010220994,0.016850829,0.029926335,0.306906077,0.175782689,0.052394107,0.0606814,0.195211786,0.091896869,0.011878453,0.008287293
2009,0.002807208,0.005886082,0.015213257,0.015303812,0.014579372,0.019107127,0.033143168,0.307072354,0.170605814,0.051435298,0.074436294,0.186815177,0.080050711,0.014036041,0.009508286
2010,0.002686006,0.00608828,0.012624228,0.014414898,0.011460292,0.017279971,0.030978601,0.313546423,0.174500851,0.050049243,0.069657087,0.194466828,0.081475513,0.010744024,0.009759155
2011,0.004525288,0.007364685,0.015705413,0.013842059,0.014285714,0.017213842,0.029902396,0.314374445,0.17515528,0.043212067,0.07284827,0.191304348,0.079148181,0.008695652,0.012244898
2012,0.004360719,0.006279435,0.015524158,0.013256585,0.014652015,0.019012733,0.027298099,0.317024246,0.174254317,0.046310832,0.066631781,0.192482121,0.081458224,0.011686726,0.009855224
2013,0.004450262,0.005497382,0.014223386,0.014136126,0.013961606,0.016055846,0.029406632,0.302530541,0.169284468,0.0495637,0.072338569,0.198429319,0.083158813,0.014746946,0.012303665
2014,0.002009436,0.006727241,0.013891316,0.014066049,0.015289184,0.015638651,0.031102569,0.295736502,0.17342303,0.047352787,0.07618382,0.199807793,0.07967849,0.014939717,0.014066049
2015,0.003073681,0.008342847,0.013260736,0.013787653,0.012909458,0.015983139,0.028277861,0.29173619,0.165100553,0.049354527,0.072802318,0.217792219,0.083779749,0.011504347,0.012294722
2016,0.003848219,0.006354036,0.015392876,0.014945409,0.012439592,0.013066046,0.028458922,0.27698228,0.168426705,0.04671559,0.0849293,0.209325219,0.092536245,0.010291749,0.016466798
2017,0.003298213,0.005222171,0.01300962,0.010719194,0.013559322,0.014750344,0.027301878,0.2817224,0.163811269,0.051763628,0.084928997,0.206229959,0.096930829,0.011085662,0.015574897
2018,0.002340386,0.006927542,0.015165699,0.010391312,0.012544467,0.01413593,0.026867628,0.277008051,0.156618611,0.048024714,0.080041191,0.223647257,0.098857892,0.013667852,0.013855083
2019,0.003357314,0.005755396,0.013621103,0.011510791,0.016882494,0.012374101,0.028105516,0.266091127,0.148201439,0.049016787,0.072134293,0.232134293,0.112613909,0.013333333,0.014964029
