"Year","None","1st-4th_grade","5th-6th_grade","7th-8th_grade","9th_grade","10th_grade","11th_grade","High.school.graduate","Some.college.no.degree","Associate.degree..occupational","Associate.degree..academic","Bachelor.s.degree","Master.s.degree","Professional.degree","Doctorate.degree"
2003,0.008339651,0.026029821,0.031842305,0.077584028,0.029567854,0.044225423,0.04144554,0.327520849,0.13570887,0.025524387,0.014404852,0.130654536,0.057619409,0.02223907,0.027546121
2004,0.005278438,0.023752969,0.025072579,0.073370282,0.025864344,0.03932436,0.049353391,0.304301927,0.14462919,0.024280813,0.017946688,0.132752705,0.080760095,0.028239641,0.025600422
2005,0.004930156,0.024650781,0.027937551,0.06409203,0.028759244,0.039441249,0.039989044,0.311147631,0.144070118,0.030402629,0.019720624,0.154204328,0.059161873,0.0224596,0.028759244
2006,0.004808977,0.030189687,0.025380711,0.061982367,0.017632915,0.033662837,0.044883783,0.339567192,0.138124499,0.025915041,0.012556773,0.144002137,0.065455517,0.033662837,0.022174726
2007,0.00805153,0.020128824,0.029253892,0.058239399,0.02791197,0.030059045,0.057971014,0.351583468,0.130434783,0.02603328,0.018518519,0.143585615,0.055018787,0.021470746,0.022275899
2008,0.00828877,0.018716578,0.025668449,0.061497326,0.027272727,0.03368984,0.044385027,0.309090909,0.143582888,0.026203209,0.02459893,0.152406417,0.077807487,0.019786096,0.026737968
2009,0.005837092,0.021225789,0.0201645,0.049880605,0.020695145,0.030777395,0.040859644,0.320774741,0.154152295,0.019633855,0.026001592,0.15362165,0.092066861,0.018041921,0.026266914
2010,0.00689146,0.015751907,0.024366232,0.048732464,0.022643367,0.027811962,0.03741078,0.318730002,0.167856264,0.023627861,0.025350726,0.146935762,0.083682008,0.019936008,0.030519321
2011,0.00660066,0.01650165,0.021687883,0.04620462,0.020037718,0.027109854,0.037246582,0.326968411,0.151815182,0.027345592,0.030645922,0.146864686,0.082979727,0.02758133,0.030645922
2012,0.006859925,0.018145607,0.017260456,0.043815003,0.025669396,0.023899093,0.044700155,0.324629343,0.138968798,0.026997123,0.03784023,0.161540164,0.077229476,0.023456517,0.028767426
2013,0.004889456,0.009353741,0.015518707,0.043579932,0.024022109,0.025722789,0.036139456,0.304634354,0.146683673,0.03082483,0.039328231,0.175170068,0.086522109,0.025935374,0.031462585
2014,0.002810681,0.012246537,0.017064846,0.036739611,0.016663321,0.032724353,0.028106806,0.317004618,0.149969886,0.023087733,0.034330456,0.176069062,0.093354748,0.022083919,0.037743425
2015,0.002905288,0.013170637,0.020530699,0.028665505,0.016656982,0.030021305,0.030989735,0.308154174,0.162308735,0.031570792,0.03912454,0.172574085,0.087546,0.026728646,0.029052876
2016,0.005399152,0.009448515,0.016004628,0.031816429,0.016968762,0.021403779,0.02930968,0.298303124,0.156189742,0.033937524,0.042229078,0.190320093,0.089086001,0.027381411,0.032009256
2017,0.003820108,0.009550269,0.013370377,0.031255426,0.019100538,0.023094287,0.024483417,0.277826011,0.150894252,0.031949991,0.042889391,0.204896683,0.105226602,0.028477166,0.03316548
2018,0.003336511,0.005560852,0.014140451,0.020019066,0.018748014,0.018748014,0.025262154,0.283603432,0.163647919,0.034953924,0.044486813,0.202414998,0.097870988,0.027963139,0.039402606
2019,0.001494545,0.009863996,0.011956359,0.016888357,0.010760723,0.017785084,0.022866537,0.261993723,0.164250486,0.038409804,0.049170528,0.218054103,0.114930504,0.021820356,0.039754895
