"","year","F","M"
"1",2003,0.0591330049261084,0.0947995800646436
"2",2004,0.0588782669237361,0.0916211915946029
"3",2005,0.058885650883619,0.089934412840749
"4",2006,0.0595967442331723,0.0884797950624105
"5",2007,0.0613517555534212,0.0874232033897593
"6",2008,0.0619648611841484,0.0870071142840579
"7",2009,0.0637490684912946,0.0851653776534474
"8",2010,0.0650886800590765,0.0864046950550647
"9",2011,0.065085917250648,0.0832734493922746
"10",2012,0.0663070367036578,0.0832053038272623
"11",2013,0.066833725699585,0.0827971171853936
"12",2014,0.0698196468551917,0.0823138713065198
"13",2015,0.070092809838074,0.082512315270936
"14",2016,0.0716186471303262,0.0819505152192401
"15",2017,0.0730326077176715,0.0813180285144872
"16",2018,0.0737897818293771,0.0802148829068158
"17",2019,0.0742932415666372,0.0779109719318427
