"","year","F","M"
"1",2003,0.0368669950738916,0.0545915963330054
"2",2004,0.0381051842330763,0.0560050307457912
"3",2005,0.0393952356762826,0.0579075446067687
"4",2006,0.041872403661049,0.0585888774476564
"5",2007,0.0434669264437523,0.0609291602450772
"6",2008,0.0455483192427491,0.0613741583363011
"7",2009,0.047713569541359,0.0634276781306566
"8",2010,0.0498490413143208,0.0651034963428784
"9",2011,0.0538030783014944,0.0676997612369318
"10",2012,0.0543473471520202,0.0706912079678501
"11",2013,0.0572288425600078,0.0711594657028136
"12",2014,0.0573018507907065,0.0725284550537879
"13",2015,0.0601299106575282,0.0728875111957008
"14",2016,0.0628305791911692,0.0750314801263161
"15",2017,0.0656600138666159,0.0773736522050181
"16",2018,0.0676636801486128,0.0796003997244136
"17",2019,0.0698461648430759,0.081298140861187
