"","year","F","M"
"1",2003,0.12823645320197,0.102379909234445
"2",2004,0.125582422879177,0.1023579510684
"3",2005,0.126186402160255,0.104681106397873
"4",2006,0.12140903103786,0.103385488610393
"5",2007,0.118244309372556,0.101961541853365
"6",2008,0.116432722516619,0.100879554094233
"7",2009,0.112255267258316,0.0986259667599144
"8",2010,0.11041549581106,0.0972631979122528
"9",2011,0.108015743496208,0.09799717193259
"10",2012,0.105899903693026,0.0970211381129334
"11",2013,0.103220639273839,0.0958484846276607
"12",2014,0.100490905546465,0.0932381993131049
"13",2015,0.0975081194160955,0.0930222794446932
"14",2016,0.0959952692269785,0.0915231106979688
"15",2017,0.0930015930730432,0.0908771526393786
"16",2018,0.0907017882581312,0.0902948898585447
"17",2019,0.0894980572758975,0.0901053887331745
