"","year","F","M"
"1",2003,0.36152380952381,0.363132486298369
"2",2004,0.359287971293916,0.360128807350291
"3",2005,0.355853808518033,0.353916478461244
"4",2006,0.355135262926813,0.351725812257746
"5",2007,0.354383052289286,0.351145807524493
"6",2008,0.352756765503014,0.350057560272645
"7",2009,0.354257841609647,0.348926279414185
"8",2010,0.352785873926625,0.34702460389433
"9",2011,0.346414514735528,0.341087337830424
"10",2012,0.347019834200935,0.33847847969061
"11",2013,0.347098512244254,0.336799609406312
"12",2014,0.348294826883429,0.336000255456842
"13",2015,0.348019555945955,0.332442342140618
"14",2016,0.343977572631602,0.330837997666185
"15",2017,0.340615952959358,0.327226736164342
"16",2018,0.338026184649262,0.322792981236539
"17",2019,0.33477144272155,0.318457788206079
