"","year","F","M"
"1",2003,0.25984236453202,0.219548486827421
"2",2004,0.268510336332476,0.231827907977868
"3",2005,0.276007272143946,0.241976615302559
"4",2006,0.283900165490223,0.252011284962035
"5",2007,0.29110354952458,0.258914285954252
"6",2008,0.295686528322749,0.26529074149226
"7",2009,0.301036515141251,0.276308211288465
"8",2010,0.305596580883794,0.280954851279696
"9",2011,0.315989888323574,0.293612894751076
"10",2012,0.319430718777342,0.298737616456396
"11",2013,0.323265296216295,0.30651038061023
"12",2014,0.324753808800855,0.311962476228322
"13",2015,0.327007316142902,0.316792851545007
"14",2016,0.334083467481411,0.323938740663093
"15",2017,0.341558036021446,0.330343911288262
"16",2018,0.346484796935906,0.339042647615619
"17",2019,0.352554643901991,0.347548487034112
