"year","Female","Male"
2003,0.00114261557020446,0.00236824180825019
2004,0.00111815198592184,0.00231022412711873
2005,0.00112863389764423,0.00242406310642435
2006,0.00113928732064132,0.00237101948869476
2007,0.00109990302971167,0.00239506141135125
2008,0.00113261131344532,0.00237560342437348
2009,0.00116146883428235,0.00244781775222747
2010,0.00122228952045346,0.00257961496537872
2011,0.00114077213579544,0.00225127134186646
2012,0.00114815279375656,0.00236466357488283
2013,0.00120298389117206,0.00240487718962743
2014,0.00120628431820897,0.00251916041833532
2015,0.0012531638440997,0.00252109454187564
2016,0.001323028652864,0.00265746721326634
2017,0.00137785807143374,0.00275018529601492
2018,0.00140103564800151,0.00281721677126062
2019,0.00141506818472797,0.00288315404222249
2020,0.00143209647313569,0.00291533605684576
2021,0.0014491247615434,0.00294751807146903
2022,0.00146615304995112,0.0029797000860923
2023,0.00148318133835884,0.00301188210071557
2024,0.00150020962676656,0.00304406411533884
2025,0.00151723791517428,0.00307624612996211
2026,0.001534266203582,0.00310842814458537
2027,0.00155129449198972,0.00314061015920864
2028,0.00156832278039744,0.00317279217383191
2029,0.00158535106880516,0.00320497418845518
