"year","Female","Male"
2003,0.00510897080555686,0.00684435265048893
2004,0.00505144966328265,0.00693630442979845
2005,0.00507206460343036,0.00712351822172431
2006,0.0048272570791931,0.00692572252159688
2007,0.0047037708661287,0.00663231779821262
2008,0.00497434937484074,0.00701833624655366
2009,0.00468209945721371,0.00694179077653134
2010,0.00491175419557723,0.00726140517353464
2011,0.00426237796664294,0.00697679091955102
2012,0.00417787524071909,0.00691138492386095
2013,0.00444633898838202,0.00731079906882739
2014,0.00450512556294036,0.007073044429264
2015,0.00422492224959065,0.00717693730519143
2016,0.00465019333795696,0.00765846085397051
2017,0.00479401371786453,0.00813772420763964
2018,0.00469687608901664,0.00863405031159406
2019,0.004833604468933,0.00861346560576863
2020,0.00481639407289401,0.00872403516547361
2021,0.00479918367685501,0.0088346047251786
2022,0.00478197328081602,0.00894517428488358
2023,0.00476476288477703,0.00905574384458856
2024,0.00474755248873804,0.00916631340429354
2025,0.00473034209269905,0.00927688296399852
2026,0.00471313169666006,0.0093874525237035
2027,0.00469592130062107,0.00949802208340849
2028,0.00467871090458208,0.00960859164311347
2029,0.00466150050854309,0.00971916120281845
