"year","Female","Male"
2003,0.00232632659065108,0.00387399552342127
2004,0.0023257049966975,0.00392655741973326
2005,0.00236267218785438,0.00403656251669111
2006,0.00238806816977887,0.00414235785143137
2007,0.00241226339289291,0.00422381838716709
2008,0.00245616061930916,0.00430625174093971
2009,0.00246849398314355,0.00443975608053416
2010,0.00257209458099233,0.00460510675086617
2011,0.00232729747190143,0.00441873858710922
2012,0.00238421525268343,0.00456952142383807
2013,0.00249659350945518,0.00483937106739265
2014,0.0025638031143651,0.00500557970946623
2015,0.00266465736579123,0.00510670496250846
2016,0.00286751913851951,0.00554060319627527
2017,0.00304228919201717,0.00579837969235358
2018,0.00315410673034455,0.00613771446924669
2019,0.00332671614896139,0.00644015093507736
2020,0.00338924049635578,0.00660053564830586
2021,0.00345176484375018,0.00676092036153437
2022,0.00351428919114457,0.00692130507476287
2023,0.00357681353853897,0.00708168978799138
2024,0.00363933788593336,0.00724207450121989
2025,0.00370186223332776,0.00740245921444839
2026,0.00376438658072215,0.0075628439276769
2027,0.00382691092811654,0.0077232286409054
2028,0.00388943527551094,0.00788361335413391
2029,0.00395195962290533,0.00804399806736241
