"year","Female","Male"
2003,0.000722271345385506,0.00168566307574516
2004,0.000680894508553887,0.0015491273489879
2005,0.000664854949895889,0.00154311674961812
2006,0.000639051629624203,0.00146766914793519
2007,0.000611829622721951,0.0014085824963732
2008,0.000607242361241673,0.00138040736713679
2009,0.000611571918352978,0.00134718566599659
2010,0.000628971231983517,0.00140330485321773
2011,0.000661940477855835,0.00145536050933362
2012,0.00067192544183878,0.00146277757996624
2013,0.000673877025503412,0.00147061423757723
2014,0.000705015733978548,0.00150260126706491
2015,0.000700698030383998,0.00149995458660166
2016,0.000723376554337652,0.00152545505176735
2017,0.000735123745742623,0.0015190743325297
2018,0.000732875031760324,0.00149204972257494
2019,0.000721978457183997,0.001452142313822
