"year","Female","Male"
2003,0.00232632659065108,0.00387399552342127
2004,0.0023257049966975,0.00392655741973326
2005,0.00236267218785438,0.00403656251669111
2006,0.00238806816977887,0.00414235785143137
2007,0.00241226339289291,0.00422381838716709
2008,0.00245616061930916,0.00430625174093971
2009,0.00246849398314355,0.00443975608053416
2010,0.00257209458099233,0.00460510675086617
2011,0.00232729747190143,0.00441873858710922
2012,0.00238421525268343,0.00456952142383807
2013,0.00249659350945518,0.00483937106739265
2014,0.0025638031143651,0.00500557970946623
2015,0.00266465736579123,0.00510670496250846
2016,0.00286751913851951,0.00554060319627527
2017,0.00304228919201717,0.00579837969235358
2018,0.00315410673034455,0.00613771446924669
2019,0.00332671614896139,0.00644015093507736
