"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.0788033564392557,0.0742968335397134,0.075559160968826,0.0841012868410129,0.0694517891768024,0.0571391439958413,0.0506717969404537,0.0504994887123417
2004,0.0745434215430488,0.0714937078241838,0.078071961982349,0.0779805253252598,0.0689655172413793,0.057413139195257,0.051108024496496,0.0505040093999299
2005,0.0804859529233106,0.0725563909774436,0.071597433299561,0.0747876690783265,0.0770063222646238,0.0558418878050858,0.050538078156249,0.0498695396010437
2006,0.0781309842972041,0.0682844243792325,0.0652718753405252,0.0768872682132051,0.0727341964965727,0.0589734874235214,0.0538030372156684,0.0503872557648301
2007,0.086046511627907,0.0678069639584606,0.0712740521461915,0.072672446287222,0.0729943502824859,0.064164447403462,0.0563366498124286,0.0510264598540146
2008,0.0928120063191153,0.0741503604531411,0.0663731798171351,0.0690066323869141,0.0758647798742138,0.0653979101275378,0.0559226124616698,0.0525754239404327
2009,0.0885771543086172,0.0781745193323473,0.0631995477671001,0.0718001318777932,0.075399889685604,0.0684377128661297,0.0586348916905084,0.0544261990045123
2010,0.0863956215793589,0.076535961417488,0.0665636383706811,0.0629692591018558,0.0751350206502171,0.0720476298138518,0.061968371870133,0.0567885416189997
2011,0.0910518053375196,0.0783732260114383,0.0670543961683202,0.0629132159510056,0.0721607837196384,0.0736543909348442,0.0609921948912015,0.0570668110253981
2012,0.0926923076923077,0.0755976739177256,0.0605210889122561,0.0637351778656127,0.0681176356022982,0.0728352835283528,0.0661490596182414,0.0609927182844545
2013,0.084393063583815,0.0845518118245391,0.064473996675374,0.0633616298811545,0.0659153328913723,0.0732781398626035,0.0691904609132713,0.0603026726245679
2014,0.0867496339677892,0.0772232491271308,0.0670887617192256,0.0614641347379722,0.0663626924292357,0.0744355277475517,0.0738548971558174,0.0667502672477592
2015,0.0867828612926652,0.0797377326565144,0.069462965207904,0.0633721325981894,0.060938836131239,0.0719233701236286,0.0757469771160188,0.0687821202342536
2016,0.0853142298925431,0.0838385950240435,0.0735276761477635,0.063473784040103,0.0613367719750698,0.0717750062988158,0.0761529964098315,0.0723867661466576
2017,0.0835192859419828,0.0847493182294944,0.0776617452886808,0.0652113843603205,0.0603187919463087,0.0730683929748846,0.0784029038112523,0.0739296877743827
2018,0.0869297163995068,0.0842323651452282,0.0783311541661714,0.0630862871464375,0.0619202913896065,0.0694424010592909,0.0806920977238377,0.0761573761641247
2019,0.0869047619047619,0.0802356286816981,0.0835860730316632,0.0649571386343482,0.0643412176586116,0.0679694137638063,0.0761263139414953,0.08
