"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.0262677854797519,0.0314877056430214,0.0443852126550006,0.0510585305105853,0.0487690228568071,0.0383382429388321,0.0327365252738387,0.0313655313458664
2004,0.0223630264629146,0.0333758891118001,0.0389228332201856,0.0524506996154161,0.0497562121835164,0.0395396486333319,0.0356083086053412,0.0326111603553833
2005,0.0242976461655277,0.0276315789473684,0.037037037037037,0.0493865995596099,0.0524007518368742,0.0434893725774162,0.0362528173708771,0.034572005723424
2006,0.0260436614324014,0.0304740406320542,0.0404271548436308,0.050197843122042,0.0535306277880535,0.0475441876274643,0.0398553086097895,0.0357551487414188
2007,0.0251937984496124,0.0348197923029933,0.0416714106797222,0.0488503580851866,0.0573446327683616,0.0493092543275633,0.039667264720274,0.0380930656934307
2008,0.0359399684044234,0.031307929969104,0.0392820860142228,0.0496311200536553,0.0580637915543576,0.0513329889943979,0.0452375683621534,0.0395450727565776
2009,0.043687374749499,0.0338051975491232,0.039344262295082,0.0485749871785479,0.0575841147269719,0.0554553832592058,0.0476939038576414,0.0422849699958134
2010,0.0347928068803753,0.0356468861396519,0.0411745225742356,0.0500070831562544,0.0600974266652547,0.0607807672017484,0.0486402300227627,0.0438841349013865
2011,0.0416012558869702,0.0438466426604533,0.0443608165127152,0.0500382768459879,0.0610008584557895,0.0687417076056944,0.0516792809839167,0.0476609374295123
2012,0.04,0.0467370234762007,0.0466175955134946,0.0470779220779221,0.0590125620800467,0.0657065706570657,0.0570956078145584,0.0483888926002628
2013,0.0408477842003854,0.047891502436957,0.0428639278081216,0.0504584040747029,0.0595226820721659,0.0672538312488991,0.062105657148968,0.0528412444144676
2014,0.0490483162518302,0.046621482850688,0.047485693412882,0.0499899349124337,0.0583269378357636,0.0661044613710555,0.063114262624156,0.0523600032892032
2015,0.0392156862745098,0.050761421319797,0.0526124378712571,0.0502348376557076,0.0568432422701292,0.0692386728978158,0.0677775557110023,0.0561730608342297
2016,0.0416802344513188,0.0531047459753293,0.0575947126165467,0.0501964503454816,0.053986675263271,0.0686255983875032,0.0719874804381847,0.0621938352551059
2017,0.0401657634682818,0.0555905181455842,0.0597767374864962,0.0549875656258635,0.0609060402684564,0.0653359707486663,0.074546279491833,0.0667825659396621
2018,0.0474722564734895,0.0632780082987552,0.0607393319862118,0.0567848191908342,0.057473211638643,0.0689127556274827,0.0770376051794536,0.0690039141584559
2019,0.0520833333333333,0.0597196831200488,0.0610214727647701,0.0631835648832397,0.0584066262488259,0.0678561314075333,0.0782110645394896,0.0735772357723577
