"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.155782561109084,0.132142225367062,0.11797427280102,0.108841843088418,0.12503672366179,0.149540807485704,0.162162162162162,0.180877841579486
2004,0.143868803578084,0.1446288528178,0.120502376103191,0.112347598396203,0.119837866416025,0.144949649069271,0.157522570869373,0.172744326029148
2005,0.138952164009112,0.131954887218045,0.123269165822357,0.108839257628185,0.114598165973686,0.13685734974656,0.15082060886956,0.167746822658025
2006,0.131750287246266,0.135628291948834,0.128146453089245,0.105749088369928,0.105864432597106,0.129928619986404,0.148373851267679,0.160227072698469
2007,0.126744186046512,0.129505192425168,0.105203233519299,0.10147003392386,0.103728813559322,0.122003994673768,0.142717338117762,0.154767335766423
2008,0.126777251184834,0.124819773429454,0.113218196184671,0.108875475072658,0.100067385444744,0.11255910048075,0.134005627035058,0.151710517354884
2009,0.117835671342685,0.10986689203465,0.1159977388355,0.100593450069602,0.0980694980694981,0.110870697599872,0.124155060206873,0.143089733451179
2010,0.114933541829554,0.11532816104005,0.109835522684623,0.101218302875761,0.0950439478979138,0.102042354359786,0.120971606565233,0.136846199606461
2011,0.115384615384615,0.101037915695827,0.106511574866005,0.102303570185817,0.0904408422966217,0.0948829203571557,0.115509697256386,0.13030631118329
2012,0.101153846153846,0.104242946370881,0.107021848346769,0.103260869565217,0.091927159411822,0.0932493249324932,0.10673543179079,0.124390406840804
2013,0.108670520231214,0.0923924560288197,0.101044882450724,0.0941935483870968,0.0921015247656028,0.0884974458340673,0.101620147577799,0.11919315403423
2014,0.0922401171303075,0.0963236804271924,0.092657981249239,0.0992417634033416,0.0900185093223782,0.0883433079434168,0.0959879037514012,0.114731518789573
2015,0.0954974582425563,0.0953891708967851,0.092617286943872,0.0976107821114968,0.0929384760790315,0.0843193795366411,0.0929599280503648,0.111250547786941
2016,0.0976880494952784,0.0999372778590843,0.0882804201581494,0.0930090773607912,0.0889318719105953,0.083490803728899,0.0842078615483752,0.102343808877836
2017,0.0965890978642015,0.0904132578141389,0.0861841315568359,0.0925670074606245,0.0849412751677852,0.0807408739435353,0.0801270417422868,0.0918589540968637
2018,0.0915536374845869,0.0821576763485477,0.0829668370379175,0.0839957035445757,0.0866545254330609,0.080564955127262,0.0768120192199238,0.0880179511405048
2019,0.0964285714285714,0.0922201909404834,0.0792187310445226,0.0827667750517292,0.0835112287592861,0.078249787595582,0.0725712655533367,0.0797235772357724
