"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.0828164903319956,0.0888024058022289,0.0891180901610847,0.0992112909921129,0.11563546624361,0.129916825506845,0.143420113569367,0.142413277747188
2004,0.080879612374208,0.0815247127484953,0.095949309798597,0.0914000490958187,0.111202490747812,0.125768342124766,0.139844687164594,0.142689286965843
2005,0.0858010630220197,0.0951127819548872,0.0880333220758753,0.0984586347908147,0.107763285299311,0.126293819482898,0.140249515888384,0.143885194848918
2006,0.0850248946763692,0.091798344620015,0.0895717554756456,0.0968267514935216,0.0993907083015994,0.123045547246771,0.134849768624128,0.13934606583348
2007,0.0957364341085271,0.0934636530238241,0.0884663554594102,0.093252921221259,0.0998870056497175,0.11667776298269,0.12855977817648,0.136929744525547
2008,0.0762243285939968,0.0885684860968074,0.0983180945930692,0.0976227736791117,0.0993935309973046,0.112201517740077,0.125248948882496,0.134162675081156
2009,0.0829659318637275,0.0904289034439045,0.0956472583380441,0.0939995604073559,0.0955874241588527,0.105661738189686,0.121608450969912,0.129506442759455
2010,0.0856137607505864,0.0966659677081149,0.0961474776465394,0.101643292251027,0.0934025203854707,0.099593036400633,0.118994848448544,0.126527250263122
2011,0.0855572998430141,0.0900233001482737,0.0907743186224199,0.0929779386178579,0.0946321264454881,0.0977874995517625,0.117490539262062,0.124689854287905
2012,0.0992307692307692,0.0923971570105535,0.0988433228180862,0.101002258610954,0.0945077417470055,0.0956615661566157,0.109089889844998,0.119580466297014
2013,0.0809248554913295,0.0875185420639966,0.0954642602707195,0.103904923599321,0.093664172743631,0.0963184780694029,0.1018607635547,0.116621701374252
2014,0.0907759882869693,0.0985828712261245,0.096432485084622,0.0942092196202107,0.0939009525529322,0.0939200217627856,0.0998983289449673,0.11127785543952
2015,0.0867828612926652,0.0926395939086294,0.0950418232513032,0.0976788509972092,0.0966740177325712,0.090152795731,0.0959828120315779,0.104916138799251
2016,0.0918267665255617,0.0859293330545683,0.0942995397143869,0.102221921148896,0.0986030517945412,0.0891282438901486,0.090674767559606,0.103003240636069
2017,0.0847943895441505,0.0931403398363751,0.0931460809026527,0.0953992815694943,0.0983221476510067,0.0889228556015105,0.087568058076225,0.0971797843571102
2018,0.0832305795314427,0.087759336099585,0.0870082015927731,0.0943071965628357,0.097285163694888,0.0876268942180374,0.0848654379751404,0.0945303009852882
2019,0.080952380952381,0.0916108064188503,0.0864976343564236,0.0932604197457878,0.0929894970540517,0.0896063438119513,0.08529921657267,0.091089430894309
