"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.421743889091572,0.411462940031841,0.401437014717812,0.370859277708593,0.353369763205829,0.347383469069485,0.353430353430353,0.358019350271376
2004,0.43496086470369,0.41236549334306,0.390246662140756,0.374764749202193,0.350878223579863,0.347704782248572,0.350842856240924,0.353507451918122
2005,0.416476841305998,0.407894736842105,0.402228976697062,0.364501415539478,0.348635871732073,0.347531626698471,0.34265578870512,0.351212019190304
2006,0.419379548065875,0.398607975921746,0.396425847226763,0.367212351617658,0.35012512240235,0.347042828008158,0.341849703447826,0.349784368949129
2007,0.412403100775194,0.392384443086948,0.40293749288398,0.364266867696947,0.346327683615819,0.344415778961385,0.345196542162779,0.349133211678832
2008,0.403633491311216,0.386405767250257,0.381645783948527,0.365004843878083,0.348270440251572,0.343875402280583,0.346252331426042,0.348141926403487
2009,0.389579158316633,0.386646946968096,0.37784058790277,0.362590665982856,0.34765581908439,0.348519453459951,0.346779010909548,0.352793413034377
2010,0.37842064112588,0.381211994128748,0.382823711226405,0.362940926476838,0.345970560203325,0.346484286683247,0.346951000359411,0.349906191369606
2011,0.37480376766091,0.372166913789451,0.369711483635534,0.358897626835549,0.346311164975004,0.334887223437444,0.341296121097446,0.344588803175892
2012,0.362307692307692,0.364204178332974,0.369903026054446,0.355307735742518,0.347356120362255,0.337209720972097,0.341284300810046,0.347852227937738
2013,0.368400770712909,0.36681500317864,0.361315601994776,0.354431239388795,0.347286674874515,0.335212259996477,0.345524542829644,0.347441193828514
2014,0.373718887262079,0.362908194701171,0.36174357725557,0.352949070656915,0.345492302830572,0.339669477693145,0.345525170103496,0.350382369870899
2015,0.35838779956427,0.357868020304569,0.347799733301006,0.351031243618542,0.340609388361312,0.343972689005999,0.342210452683122,0.356021672443329
2016,0.388472810159557,0.335772527702279,0.341791573232621,0.336133315268934,0.342316784869976,0.340608465608466,0.344932339132836,0.346635013942271
2017,0.3787057698438,0.344031885882106,0.331292761973353,0.329994473611495,0.33498322147651,0.338728046514416,0.338929219600726,0.347065641133706
2018,0.378236744759556,0.346473029045643,0.328063710923571,0.333691371285356,0.335098047520224,0.336265999705753,0.337025423537639,0.340498042920772
2019,0.361309523809524,0.334958358724355,0.330826155525901,0.329145728643216,0.330543933054393,0.334267912772586,0.332177576861463,0.338894308943089
