"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.23458591754834,0.261807889616133,0.271526248696257,0.285927770859278,0.287737234855162,0.277681511003292,0.257579048623825,0.236824510343743
2004,0.243384271338054,0.25661134415466,0.276306856754922,0.291056378365109,0.299359689831405,0.284624438728802,0.265073552623272,0.247943765331574
2005,0.253986332574032,0.26484962406015,0.277834065068108,0.304026423403586,0.299595602893433,0.289985943689569,0.279483191009809,0.252714417978285
2006,0.259670624281884,0.275206922498119,0.280156914024191,0.303126697183645,0.318354912414318,0.293465329707682,0.281268330834908,0.264500088012674
2007,0.253875968992248,0.282019955202606,0.290447455311397,0.319487372785526,0.319717514124294,0.303428761651132,0.287522427010276,0.270050182481752
2008,0.264612954186414,0.294747682801236,0.301162659442375,0.309859154929577,0.318340071877808,0.314633080376654,0.29333291183258,0.273864384463463
2009,0.277354709418838,0.301077540671878,0.307970604861504,0.322441204483845,0.325703254274683,0.311055014625155,0.301128682365517,0.277899241754663
2010,0.299843627834246,0.294611029565947,0.303455127497516,0.321221136138263,0.330350524197818,0.319051925540734,0.302473942733916,0.286047682240425
2011,0.29160125588697,0.314552001694556,0.321587410195005,0.332869371563783,0.335454224107458,0.330046258113099,0.313032166508988,0.295687282898002
2012,0.304615384615385,0.316821020891665,0.317093118354948,0.329616036137775,0.339078780796572,0.335337533753375,0.319645710121367,0.298795288039727
2013,0.316763005780347,0.320830684467048,0.334837330800285,0.33365025466893,0.341509612652713,0.33943984498855,0.319698427975618,0.303600033723969
2014,0.307467057101025,0.318340521667694,0.334591501278461,0.342145876669127,0.345898605029118,0.337527203482046,0.321619437420162,0.304497985363046
2015,0.333333333333333,0.323604060913706,0.342465753424658,0.340072153018855,0.351996039425717,0.340393092704915,0.325322274407914,0.302856459901996
2016,0.295017909475741,0.341417520384696,0.344506078130532,0.354965451835795,0.354824844186546,0.346371882086168,0.332044554911166,0.31343733514206
2017,0.316225693337584,0.332074680092301,0.351938542791982,0.361840287372202,0.360528523489933,0.353203860216987,0.340426497277677,0.323183366698276
2018,0.312577065351418,0.336099585062241,0.362890764293356,0.368134622269961,0.361568760323578,0.357186994262174,0.343567416364006,0.331792414630854
2019,0.322321428571429,0.341255332114564,0.35884993327672,0.366686373041679,0.370207497224831,0.362050410648541,0.355614562531546,0.336715447154472
