"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.806876173376881,0.749279089538486,0.706305273829046,0.678201693836478,0.672046794973592,0.675683201302475,0.675346561835724,0.67260336958139
2004,0.806876173376881,0.749279089538486,0.706305273829046,0.678201693836478,0.672046794973592,0.675683201302475,0.675346561835724,0.67260336958139
2005,0.806876173376881,0.749279089538486,0.706305273829046,0.678201693836478,0.672046794973592,0.675683201302475,0.675346561835724,0.67260336958139
2006,0.806876173376881,0.749279089538486,0.706305273829046,0.678201693836478,0.672046794973592,0.675683201302475,0.675346561835724,0.67260336958139
2007,0.806876173376881,0.749279089538486,0.706305273829046,0.678201693836478,0.672046794973592,0.675683201302475,0.675346561835724,0.67260336958139
2008,0.806876173376881,0.749279089538486,0.706305273829046,0.678201693836478,0.672046794973592,0.675683201302475,0.675346561835724,0.67260336958139
2009,0.806876173376881,0.749279089538486,0.706305273829046,0.678201693836478,0.672046794973592,0.675683201302475,0.675346561835724,0.67260336958139
2010,0.806876173376881,0.749279089538486,0.706305273829046,0.678201693836478,0.672046794973592,0.675683201302475,0.675346561835724,0.67260336958139
2011,0.69543329841351,0.691220831186399,0.68496625810283,0.676487128498153,0.664243080600718,0.655518033786758,0.651580346817786,0.648234949369518
2012,0.69543329841351,0.691220831186399,0.68496625810283,0.676487128498153,0.664243080600718,0.655518033786758,0.651580346817786,0.648234949369518
2013,0.69543329841351,0.691220831186399,0.68496625810283,0.676487128498153,0.664243080600718,0.655518033786758,0.651580346817786,0.648234949369518
2014,0.69543329841351,0.691220831186399,0.68496625810283,0.676487128498153,0.664243080600718,0.655518033786758,0.651580346817786,0.648234949369518
2015,0.69543329841351,0.691220831186399,0.68496625810283,0.676487128498153,0.664243080600718,0.655518033786758,0.651580346817786,0.648234949369518
2016,0.69543329841351,0.691220831186399,0.68496625810283,0.676487128498153,0.664243080600718,0.655518033786758,0.651580346817786,0.648234949369518
2017,0.69543329841351,0.691220831186399,0.68496625810283,0.676487128498153,0.664243080600718,0.655518033786758,0.651580346817786,0.648234949369518
2018,0.69543329841351,0.691220831186399,0.68496625810283,0.676487128498153,0.664243080600718,0.655518033786758,0.651580346817786,0.648234949369518
2019,0.69543329841351,0.691220831186399,0.68496625810283,0.676487128498153,0.664243080600718,0.655518033786758,0.651580346817786,0.648234949369518
