"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.193123826623119,0.250720910461514,0.293694726170954,0.321798306163522,0.327953205026408,0.324316798697525,0.324653438164276,0.32739663041861
2004,0.193123826623119,0.250720910461514,0.293694726170954,0.321798306163522,0.327953205026408,0.324316798697525,0.324653438164276,0.32739663041861
2005,0.193123826623119,0.250720910461514,0.293694726170954,0.321798306163522,0.327953205026408,0.324316798697525,0.324653438164276,0.32739663041861
2006,0.193123826623119,0.250720910461514,0.293694726170954,0.321798306163522,0.327953205026408,0.324316798697525,0.324653438164276,0.32739663041861
2007,0.193123826623119,0.250720910461514,0.293694726170954,0.321798306163522,0.327953205026408,0.324316798697525,0.324653438164276,0.32739663041861
2008,0.193123826623119,0.250720910461514,0.293694726170954,0.321798306163522,0.327953205026408,0.324316798697525,0.324653438164276,0.32739663041861
2009,0.193123826623119,0.250720910461514,0.293694726170954,0.321798306163522,0.327953205026408,0.324316798697525,0.324653438164276,0.32739663041861
2010,0.193123826623119,0.250720910461514,0.293694726170954,0.321798306163522,0.327953205026408,0.324316798697525,0.324653438164276,0.32739663041861
2011,0.30456670158649,0.308779168813601,0.31503374189717,0.323512871501847,0.335756919399282,0.344481966213242,0.348419653182214,0.351765050630482
2012,0.30456670158649,0.308779168813601,0.31503374189717,0.323512871501847,0.335756919399282,0.344481966213242,0.348419653182214,0.351765050630482
2013,0.30456670158649,0.308779168813601,0.31503374189717,0.323512871501847,0.335756919399282,0.344481966213242,0.348419653182214,0.351765050630482
2014,0.30456670158649,0.308779168813601,0.31503374189717,0.323512871501847,0.335756919399282,0.344481966213242,0.348419653182214,0.351765050630482
2015,0.30456670158649,0.308779168813601,0.31503374189717,0.323512871501847,0.335756919399282,0.344481966213242,0.348419653182214,0.351765050630482
2016,0.30456670158649,0.308779168813601,0.31503374189717,0.323512871501847,0.335756919399282,0.344481966213242,0.348419653182214,0.351765050630482
2017,0.30456670158649,0.308779168813601,0.31503374189717,0.323512871501847,0.335756919399282,0.344481966213242,0.348419653182214,0.351765050630482
2018,0.30456670158649,0.308779168813601,0.31503374189717,0.323512871501847,0.335756919399282,0.344481966213242,0.348419653182214,0.351765050630482
2019,0.30456670158649,0.308779168813601,0.31503374189717,0.323512871501847,0.335756919399282,0.344481966213242,0.348419653182214,0.351765050630482
