"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.578325264984486,0.591193809255255,0.592507695409272,0.582414662810715,0.561578385776192,0.56353359156296,0.583076923824212,0.622290950811021
2004,0.578325264984486,0.591193809255255,0.592507695409272,0.582414662810715,0.561578385776192,0.56353359156296,0.583076923824212,0.622290950811021
2005,0.578325264984486,0.591193809255255,0.592507695409272,0.582414662810715,0.561578385776192,0.56353359156296,0.583076923824212,0.622290950811021
2006,0.578325264984486,0.591193809255255,0.592507695409272,0.582414662810715,0.561578385776192,0.56353359156296,0.583076923824212,0.622290950811021
2007,0.578325264984486,0.591193809255255,0.592507695409272,0.582414662810715,0.561578385776192,0.56353359156296,0.583076923824212,0.622290950811021
2008,0.578325264984486,0.591193809255255,0.592507695409272,0.582414662810715,0.561578385776192,0.56353359156296,0.583076923824212,0.622290950811021
2009,0.578325264984486,0.591193809255255,0.592507695409272,0.582414662810715,0.561578385776192,0.56353359156296,0.583076923824212,0.622290950811021
2010,0.578325264984486,0.591193809255255,0.592507695409272,0.582414662810715,0.561578385776192,0.56353359156296,0.583076923824212,0.622290950811021
2011,0.518117297351326,0.526123015266113,0.526096605403157,0.519274303120788,0.506333755398511,0.504200636313594,0.511169210542289,0.527840700727533
2012,0.518117297351326,0.526123015266113,0.526096605403157,0.519274303120788,0.506333755398511,0.504200636313594,0.511169210542289,0.527840700727533
2013,0.518117297351326,0.526123015266113,0.526096605403157,0.519274303120788,0.506333755398511,0.504200636313594,0.511169210542289,0.527840700727533
2014,0.518117297351326,0.526123015266113,0.526096605403157,0.519274303120788,0.506333755398511,0.504200636313594,0.511169210542289,0.527840700727533
2015,0.518117297351326,0.526123015266113,0.526096605403157,0.519274303120788,0.506333755398511,0.504200636313594,0.511169210542289,0.527840700727533
2016,0.518117297351326,0.526123015266113,0.526096605403157,0.519274303120788,0.506333755398511,0.504200636313594,0.511169210542289,0.527840700727533
2017,0.518117297351326,0.526123015266113,0.526096605403157,0.519274303120788,0.506333755398511,0.504200636313594,0.511169210542289,0.527840700727533
2018,0.518117297351326,0.526123015266113,0.526096605403157,0.519274303120788,0.506333755398511,0.504200636313594,0.511169210542289,0.527840700727533
2019,0.518117297351326,0.526123015266113,0.526096605403157,0.519274303120788,0.506333755398511,0.504200636313594,0.511169210542289,0.527840700727533
