"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.307592351,0.289184749,0.289581624,0.287459873,0.250344741,0.195620904,0.151923453,0.141675504
2004,0.312315177,0.28416955,0.288499551,0.300933442,0.263873842,0.218658892,0.155559786,0.143165623
2005,0.324347742,0.294301871,0.284980972,0.285375025,0.271056836,0.219577507,0.167074318,0.147971359
2006,0.343986221,0.305452293,0.275224558,0.29477648,0.273547966,0.227206946,0.184253991,0.150655022
2007,0.36354117,0.315608919,0.295789292,0.297816265,0.292656819,0.23673857,0.187856126,0.161964248
2008,0.368799081,0.32479186,0.292215673,0.307274401,0.289875025,0.267574862,0.202597842,0.163570361
2009,0.361751825,0.324554756,0.298874458,0.290410215,0.295212491,0.290064103,0.210075892,0.175259875
2010,0.362507511,0.323866372,0.30266725,0.29644552,0.297138217,0.297218326,0.233422586,0.191257952
2011,0.366313188,0.350552089,0.318259004,0.291393079,0.3041273,0.281420461,0.256058528,0.187150838
2012,0.370408478,0.361754653,0.322363636,0.295482295,0.301453927,0.288409411,0.251155625,0.196011397
2013,0.387642176,0.368842305,0.337460436,0.308638743,0.307763658,0.303504848,0.250364867,0.209135048
2014,0.391653128,0.38248937,0.339448669,0.308492049,0.302888583,0.302439024,0.264937707,0.241166381
2015,0.390144754,0.390814728,0.356808409,0.325371037,0.305680793,0.309219859,0.279716925,0.228250083
2016,0.415642243,0.39933828,0.370072024,0.328620011,0.309483451,0.316219945,0.299931366,0.246513864
2017,0.429565383,0.424992362,0.385089633,0.329821347,0.309955556,0.311883104,0.306570169,0.281110117
2018,0.429586019,0.431172246,0.394864479,0.350028084,0.32365108,0.306676655,0.31849124,0.284885366
2019,0.458294803,0.433206107,0.421601777,0.373045564,0.324098228,0.316903369,0.320594017,0.303494624
