"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,8.16413183257144e-05,0.000167871161710895,0.000289341248851746,0.000532401076065133,0.000862880666930745,0.00156472659680136,0.00302948567306584,0.00562080157031028
2004,7.59234212200513e-05,0.000159226885098116,0.00030275734861936,0.000466960291303736,0.000774480201067317,0.00134292413253371,0.00286955615977103,0.00536778355936267
2005,7.78036160329858e-05,0.000152828374188515,0.000278215814187638,0.000479034350312222,0.000823939328503766,0.00128799068718941,0.00257963966735105,0.00503542340449619
2006,7.00695930895851e-05,0.000141131609951681,0.00026782023837625,0.00047182353366205,0.000767728893982614,0.00128080270197372,0.00236538803811096,0.00476631715828541
2007,7.20585924362759e-05,0.000128024095155005,0.000259603385481798,0.000442096393814726,0.000690792958401694,0.00126189861996796,0.00233700096378958,0.00430406323173768
2008,7.56592088076054e-05,0.000137507149673747,0.000246511336877925,0.000402471292967588,0.000714781184421907,0.00114094408011581,0.00210299850852849,0.00433477117862097
2009,7.35644077514271e-05,0.000144225045992697,0.000228744418105633,0.000443417590769689,0.000692749691090059,0.00103952396907226,0.00205145356956609,0.00399627868993092
2010,7.49154386806389e-05,0.000143196186580817,0.00024613731989723,0.000388141478183873,0.00069620767310515,0.00107808096985349,0.0019808629728364,0.00381099279440603
2011,9.25212376034387e-05,0.000144359527925912,0.000240577931350605,0.00039884190677961,0.000677385442009067,0.00120120938200478,0.00181693224789078,0.00400696797546481
2012,9.56086188437557e-05,0.000132765053035184,0.000213953641851121,0.000392869255131355,0.000652787077726582,0.00115324059145848,0.00195598059005603,0.00398097407455463
2013,8.26228876181359e-05,0.000149140034274746,0.000219305164849397,0.000389069379297868,0.000624463625545018,0.00110695894076553,0.0020629439164007,0.00368703238586324
2014,8.73662158791324e-05,0.000137512523679665,0.000225495536957291,0.000382858356042882,0.000661683475097427,0.00114157108697487,0.00203551652054887,0.00348077966277045
2015,8.66476868314776e-05,0.000137600057009521,0.00022385599334976,0.000373332462383055,0.000596792447958103,0.00107844022312221,0.00196772130401848,0.00377909751580023
2016,8.71593376571063e-05,0.000146591161516792,0.000232939813521935,0.000380147329940959,0.000615566276077892,0.00108282502714551,0.00190795122873757,0.00378803911712388
2017,8.27833185938794e-05,0.000139512213988463,0.000232557973861877,0.000390150539765748,0.000619472997592319,0.00114674992853858,0.00194736526114639,0.00335727883755743
2018,8.76676930981875e-05,0.000137582297523709,0.000232800078703312,0.000351220909768922,0.000604071673475018,0.00110900541016834,0.00190641861080962,0.00340402683416518
2019,8.43527078296958e-05,0.000131723521253669,0.000231462936641358,0.000335314814488753,0.000623233458617637,0.00107884208447049,0.00179481098313863,0.0033220988238985
2020,8.6890354345243e-05,0.000133550691097763,0.000214922119588982,0.000349410596598169,0.000591765935412982,0.00103301837639351,0.0017354926091478,0.00327032533576449
2021,8.7771958489228e-05,0.000132204669972,0.000210748768271044,0.000340936500025727,0.000578741047832736,0.00101270429474677,0.00168128697778282,0.00316260939365376
2022,8.8662507537081e-05,0.000130872215027409,0.000206656454964718,0.000332667921870352,0.000566002840654868,0.000992789685096438,0.00162877438184547,0.00305844133225627
2023,8.9562092245301e-05,0.000129553189534136,0.000202643606076308,0.000324599877787176,0.000553545003985908,0.000973266691912618,0.00157790194179378,0.00295770429368351
2024,9.04708042912167e-05,0.00012824745814039,0.000198708678568113,0.000316727504314385,0.000541361366814411,0.000954127614142683,0.00152861842970267,0.0028602852690394
2025,9.13887362823314e-05,0.000126954886858554,0.000194850159365092,0.000309046055941498,0.00052944589395414,0.000935364902173539,0.00148087421767813,0.00276607497164463
2026,9.23159817657589e-05,0.000125675343051437,0.000191066564773051,0.000301550902248743,0.000517792683054525,0.000916971154853586,0.00143462122788247,0.00267496771443654
2027,9.32526352377582e-05,0.00012440869541866,0.000187356439908126,0.000294237525115818,0.000506395961676921,0.000898939116573266,0.00138981288412055,0.00258686129140723
2028,9.41987921533633e-05,0.000123154813983187,0.000183718358137343,0.000287101515998341,0.000495250084435222,0.000881261674403,0.00134640406493812,0.00250165686294673
2029,9.51545489361105e-05,0.000121913570077984,0.000180150920530045,0.000280138573270355,0.000484349530199408,0.000863931855287423,0.00130435105818508,0.00241925884496266
