"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000113699822668093,0.000212617919543871,0.000408750061371233,0.000681207955624292,0.00124164941761836,0.00218731140291533,0.00407138211570447,0.00717213994649083
2004,9.51629853056916e-05,0.000222143944139433,0.000362994751875693,0.000661942394192205,0.00114502051534996,0.00192684449944864,0.00415894968495058,0.00712065958335258
2005,9.81329666201968e-05,0.000173935039289255,0.000346112190213116,0.000666685331436175,0.00114893114847443,0.00208982273971217,0.00384936216813397,0.00717150069692394
2006,9.75841702718062e-05,0.000188228656212422,0.000398920891103447,0.000649210210160092,0.00115786842728245,0.00215127798413507,0.00364492391101474,0.00694841347697695
2007,8.81489593969983e-05,0.000196470182433716,0.000365017263561913,0.00062631103073496,0.00111208777142115,0.00202037562023673,0.00342299934134316,0.00660106430388692
2008,0.000122407029409144,0.000173507967948685,0.000350861015352328,0.000610061007652708,0.00112105246065363,0.00186582419012617,0.00353881168182786,0.0066982384844613
2009,0.000151590854227362,0.000186385447707372,0.000342463461566544,0.000632230563764564,0.00108416643974743,0.00175491630334831,0.00347116392319772,0.00637850091278968
2010,0.00012604919979909,0.000199315267110072,0.000366155269033467,0.000649633050610674,0.00114114256828918,0.00189483560462103,0.00323434732188104,0.00605020077213068
2011,9.65233475483958e-05,0.000180793535918696,0.000346051047477783,0.000663329354971721,0.00113285058126894,0.00213333246172689,0.00287903050022238,0.00616700927050914
2012,9.42077003730142e-05,0.00018374063577168,0.000358323198380155,0.000606811915732509,0.00111881562156796,0.00197972587259719,0.00315724947142496,0.00582018510708912
2013,9.131354032936e-05,0.000189103081603825,0.000317006625297937,0.000647891370348061,0.00111559165293103,0.0019332688724156,0.00346288198862499,0.00595378547773059
2014,0.0001127906343729,0.000185844232976527,0.000347026839957413,0.000651128796241921,0.0011505289079933,0.00192917494243914,0.00325303082686718,0.00503156332730053
2015,8.940378165911e-05,0.000196090850164273,0.000368651445042758,0.000618828645379862,0.00110131124217364,0.00197557233716836,0.00329267993244577,0.0056874865481721
2016,9.72289646506281e-05,0.000207857621840427,0.000396723206541986,0.000628634967511522,0.00107187107824373,0.0019701048614597,0.0033728931131677,0.00599766732381268
2017,9.09044508554538e-05,0.000204854526069652,0.000389196032002625,0.000687925263331578,0.00123746287445431,0.00195123540084996,0.0034626338961594,0.00558870770812363
2018,0.00010931613106588,0.000231369009546312,0.000392491914972116,0.000661067209476531,0.00110923359276651,0.00209424122891089,0.00340373209092996,0.00568374365235375
2019,0.000115432283583213,0.000219473652213405,0.000367402687428641,0.00068202132517967,0.00111924631511229,0.00204951737339471,0.00344839849109032,0.0056304846931627
2020,0.000113783575460445,0.00019540860123264,0.00036279356115209,0.000647066749635018,0.00113047501348441,0.00195605591313623,0.00346366533369853,0.006180264410038
2021,0.000114072870521558,0.000195377905092649,0.000362720158685907,0.000647037870595749,0.00113034587303991,0.0019550473753971,0.00346363800068525,0.00618008405074632
2022,0.000114362901116178,0.00019534721377462,0.000362646771070931,0.00064700899284537,0.00113021674734784,0.0019540393576576,0.00346361066788767,0.00617990369671808
2023,0.000114653669114402,0.000195316527277798,0.000362573398304156,0.000646980116383827,0.00113008763640651,0.00195303185964964,0.00346358333530578,0.00617972334795313
2024,0.00011494517639108,0.000195285845601423,0.000362500040382578,0.000646951241211059,0.00112995854021425,0.00195202488110524,0.00346355600293958,0.00617954300445132
2025,0.000115237424825831,0.000195255168744739,0.000362426697303195,0.000646922367327011,0.00112982945876936,0.00195101842175656,0.00346352867078906,0.00617936266621248
2026,0.00011553041630305,0.000195224496706989,0.000362353369063002,0.000646893494731625,0.00112970039207016,0.0019500124813359,0.00346350133885424,0.00617918233323648
2027,0.000115824152711925,0.000195193829487415,0.000362280055658998,0.000646864623424842,0.00112957134011497,0.00194900705957572,0.00346347400713511,0.00617900200552316
2028,0.000116118635946447,0.000195163167085261,0.00036220675708818,0.000646835753406606,0.0011294423029021,0.00194800215620858,0.00346344667563165,0.00617882168307235
2029,0.000116413867905423,0.00019513250949977,0.000362133473347548,0.000646806884676858,0.00112931328042987,0.00194699777096721,0.00346341934434388,0.00617864136588392
