"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000469845824587587,0.00102255615496551,0.00174974621110391,0.00266377298085504,0.00426979228942333,0.00645718680750702,0.00894532414603356,0.014177126877256
2004,0.000451115209347391,0.000898273934799628,0.00188604679082154,0.00272363966748847,0.00415450776891379,0.00672498571639891,0.00886618538481161,0.0142897493998644
2005,0.000489643556594899,0.00105900336750556,0.0016660028372281,0.00266840496856521,0.00403624486368097,0.00653189503760814,0.00919406135496423,0.0155182341246861
2006,0.000490685133113201,0.00101101566961839,0.00166154859443182,0.00253109226206081,0.00391525679794221,0.0063864912950458,0.0091303275914807,0.0148179294814593
2007,0.000549606064100194,0.000994482791688062,0.00165086518484226,0.00255043059375564,0.0038313619290955,0.00593184148223078,0.00900566308333013,0.0140479571315657
2008,0.000424358227299919,0.000993359812301355,0.00192214669288361,0.0029332516094458,0.00421558125311837,0.00647094372274071,0.0089657882491271,0.0152255105860866
2009,0.000450028274317515,0.000974513303120081,0.00188475622838178,0.00258207700960966,0.00384343959796324,0.00640324649911035,0.00862982183635804,0.0144189342719969
2010,0.000481944055580864,0.0010325186357079,0.00197300077377599,0.00315753804302768,0.00392372378238467,0.0067981152165673,0.00902299999495313,0.0150397097289545
2011,0.000444185084668042,0.00083624161328062,0.00156806896014371,0.00235028604810074,0.00388431721921823,0.00558156246499447,0.00834680912355678,0.012783257333316
2012,0.000512787695924541,0.000892871063370335,0.00165520241988048,0.00257887445895822,0.00368824218992917,0.00574021198955334,0.00779504797443093,0.0111028854399446
2013,0.00043515066403029,0.000949517754356544,0.00177223463228334,0.00283541133827268,0.00374791043517148,0.00610325453472808,0.00763887585226163,0.012622251728047
2014,0.000522458357513865,0.00105025636942557,0.00184447789690567,0.00258042496011475,0.00416100719536476,0.00575071424075554,0.00741825965334613,0.0144904540644954
2015,0.000473587585153894,0.000883803943064228,0.00161587666000932,0.00275499300958725,0.00384892438892502,0.00562337075657992,0.00776603207376615,0.0117560684733316
2016,0.000606204715391629,0.000869426828223077,0.00163547604414412,0.00299572920435259,0.0044627423856987,0.00603694174343187,0.00863959366591221,0.0137294097681613
2017,0.000579099087358804,0.0010358303464497,0.00171571713047702,0.00301508799002223,0.00466308088786385,0.00595286536498986,0.00822132914353851,0.0139716342052006
2018,0.000585547814814776,0.0010474031440459,0.00153191986192261,0.00292641490088622,0.0044448489504559,0.00585458329707328,0.00820159969594646,0.0132394859944254
2019,0.000625826842323119,0.000998079413746227,0.00167683785920795,0.00275879856572953,0.00434497408236381,0.00603369948142732,0.00886301458650691,0.0142481521752576
