"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.0702446724546172,0.07223113964687,0.0752818035426731,0.100064636018421,0.103180908195367,0.0926475179519201,0.0933219888768988,0.101804748062016
2004,0.0684072050192269,0.0695583440371505,0.0740234597426261,0.0914237869303457,0.0993880898309362,0.092072142208382,0.0882896036415167,0.100328394072887
2005,0.0710870920806485,0.0639323300875381,0.067548390758926,0.0833783054506206,0.0998634447544974,0.0945024077046549,0.0883208689842453,0.0977037663435894
2006,0.073355128729056,0.0606584027636659,0.0674406692846167,0.0758665052217345,0.0981215027977618,0.0942096397053277,0.0886747299657202,0.0965532441550955
2007,0.0669447340980188,0.0651458885941645,0.0645850167378506,0.0738560342520739,0.0937661740180574,0.0956767735383723,0.087353910698232,0.0961090845926698
2008,0.0603869870295556,0.0672306824591089,0.0642310657730858,0.0710939549525915,0.0898335043904664,0.0974505711002181,0.0891705353107925,0.0949309232653202
2009,0.0687819420783646,0.0602272727272727,0.0600250104210088,0.0658169350029815,0.0848847769326825,0.0958503401360544,0.0922883707739988,0.0925841833170323
2010,0.0690461015508817,0.0686546463245492,0.0594187551476644,0.0644913205888816,0.0808853011146454,0.0979844299882692,0.0930403213347752,0.0968219401817006
2011,0.0710300429184549,0.068215634657205,0.0589319695528068,0.0599296633890763,0.0713407455853499,0.0945009852316818,0.0936260997621115,0.0932760992425875
2012,0.0639170805441589,0.0653518496907457,0.0587605491875551,0.0617355641853882,0.0721311475409836,0.0899560702875399,0.0950962663546431,0.093705501618123
2013,0.0639170805441589,0.0626492325184764,0.0615817043567139,0.0573087334378117,0.0662666896161696,0.0871312111801242,0.0977853549846393,0.0960572061882278
2014,0.0618832236842105,0.0655963302752294,0.0577978056426332,0.0603460706560923,0.0620264697420159,0.0805178164276696,0.0992616237828078,0.0986887306854562
2015,0.0626515763945028,0.061274797511445,0.0610072335198581,0.0552765674617827,0.0591994212683868,0.080341344736066,0.100390631031235,0.100459160392425
2016,0.07098653076083,0.0593396444239206,0.0604482824306305,0.0568313532309476,0.0575432319618366,0.0753982795023469,0.0985387411789864,0.102865088171986
2017,0.0619530976548827,0.0576036866359447,0.0591974317817014,0.0557820131467812,0.0575672110267025,0.070234899328859,0.0957427396375784,0.106393735742031
2018,0.0586743320933378,0.0559591373439274,0.0597043334813781,0.0571182441289936,0.0568638841719546,0.0687862202189311,0.0904754806975704,0.107227101928571
2019,0.0686191043759578,0.0626206304953892,0.057572846621838,0.0537769169420075,0.0532483275714991,0.0635129981567406,0.0865520754766914,0.10621401178773
