"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.0297947908445146,0.0342743839108677,0.041407867494824,0.0564757210955805,0.0665098986303982,0.0568477469039442,0.0555117456628206,0.0548540455426357
2004,0.0297510625379478,0.032111451437605,0.042079489807539,0.0550616004146565,0.0691395407519556,0.0589853380044116,0.057628719886632,0.056531838205847
2005,0.0330492621076699,0.035113602832694,0.0429698586592496,0.0538508981574281,0.0686635397494508,0.0644562600321027,0.0595702493588224,0.05821895531126
2006,0.03330608908868,0.0324121113594798,0.0381310113254795,0.054184955350386,0.069915496174489,0.066954969451638,0.0579738266175107,0.0612379838258481
2007,0.0360792492179354,0.0337400530503979,0.0394205240678749,0.0517603883940518,0.0711081718327678,0.0735287006141496,0.06051200821953,0.0632273753691159
2008,0.0314692749308952,0.0331641285956007,0.0438882628551094,0.0492448375370086,0.0677671342228304,0.0745362009522246,0.0626309518918697,0.0641784094241018
2009,0.0398211243611584,0.0357954545454545,0.0421604239861847,0.0500521765056649,0.0672323759791123,0.0786394557823129,0.0674539672250694,0.0645871175073355
2010,0.0386658168684937,0.044960702727693,0.0445346511354277,0.049366439610342,0.0655956804148512,0.0820518289431588,0.0703692260157578,0.0649732893259383
2011,0.0405579399141631,0.0460112166647591,0.0475142721217888,0.0504557525299648,0.0638848920863309,0.0808702541288317,0.0783710304723785,0.0688300711006513
2012,0.0436190887497301,0.0500641848523748,0.0476130495024562,0.0532065473814104,0.063515059092642,0.0820287539936102,0.0818884515831649,0.0744660194174757
2013,0.0421075361692939,0.0493462194428653,0.049699757250543,0.0526072090041316,0.060119501340087,0.0802406832298137,0.0860875730056379,0.0754095374011265
2014,0.0388569078947368,0.0520642201834862,0.0570794148380355,0.0513698630136986,0.0582622038937374,0.0779551150389116,0.0889920680982782,0.0791293288698525
2015,0.0440582053354891,0.051414485268224,0.0559574177698922,0.0536887969869286,0.0577284784181336,0.0731163373636095,0.0886717000941838,0.0826916495550993
2016,0.0442300691663633,0.0528746247979681,0.0574639659660931,0.0553100550565054,0.0572680152286592,0.074316424994329,0.0896143702330886,0.0880650293460968
2017,0.0428771438571929,0.0539170506912442,0.0596468699839486,0.0578752157467592,0.0581130873857071,0.0707046979865772,0.0917844560167315,0.0949503668536901
2018,0.0515725397362191,0.0545970488081725,0.0635746462787894,0.0622869770403386,0.0604835105907588,0.0682710882163554,0.0921286196289923,0.100174247004018
2019,0.0493785118338158,0.0567231396096933,0.0679474863912904,0.0652083095970529,0.0594890674808064,0.0709654865569186,0.0888544850674183,0.105048813873774
