"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.163378058405683,0.153148900009442,0.141361858753163,0.125313080714228,0.136165750421049,0.159537933187637,0.178633684734789,0.197099079457364
2004,0.159684274438373,0.160359648256101,0.134551873362943,0.117579043897771,0.127491799142064,0.151835993252887,0.172456735517671,0.189058870644774
2005,0.156100602785284,0.148421363233992,0.139126979621956,0.118880579754838,0.11737813928635,0.144387038523274,0.166857044332852,0.180999154361543
2006,0.151614221495709,0.15149359886202,0.139832678845826,0.120970183139095,0.1120817631609,0.139491614914641,0.158571028178427,0.171540952477833
2007,0.142857142857143,0.138249336870027,0.133845088306591,0.11984403073512,0.110127091839669,0.129382465302964,0.152296759279079,0.165207573388918
2008,0.133319157984265,0.132430908065426,0.127157345353182,0.119664205674025,0.108450222374273,0.122147430635364,0.145330923133807,0.163335000603667
2009,0.11179727427598,0.122954545454545,0.128744119573632,0.117732558139535,0.10151549551595,0.11281179138322,0.134624344197541,0.155057985189325
2010,0.124920331421287,0.120550161812298,0.124367572655607,0.115102907785835,0.102643607495122,0.104084461981444,0.13065811833771,0.148848208513389
2011,0.128326180257511,0.109763076570905,0.117447668886775,0.113399842101486,0.103178548070634,0.098198143295346,0.121379753049126,0.136085652253178
2012,0.110127402288922,0.112265141790174,0.116261493890918,0.112183791238704,0.0998602109543779,0.0951477635782748,0.112310747083644,0.131456310679612
2013,0.112286763118117,0.104945992040932,0.109620544269835,0.110699529847557,0.098256657404903,0.0950310559006211,0.102629890955741,0.122914357720862
2014,0.115542763157895,0.0966743119266055,0.102272727272727,0.109048305695746,0.101803011412679,0.0915977312555352,0.0998581285870897,0.116990951218443
2015,0.111964430072757,0.105176663927691,0.101201037259451,0.110368510449745,0.104171690378587,0.0940909761132409,0.0926706501767876,0.112693931097422
2016,0.10793593010557,0.100438697760332,0.0961330878150994,0.107468849608809,0.102724645658456,0.0881013453384285,0.0862784232660917,0.10450953915264
2017,0.114455722786139,0.0921658986175115,0.0925200642054575,0.101501964672616,0.0985306828003457,0.0896979865771812,0.083404685372598,0.0961341636352426
2018,0.101115995941833,0.0973893303064699,0.0879385825772476,0.0971197423124462,0.0962105639467334,0.0882324533161623,0.0789983604113877,0.0867797494162133
2019,0.10216243827686,0.0936092644220459,0.0865193723983349,0.0926664387983745,0.0949804696269025,0.0878567342528443,0.0765881994892356,0.0793352715589896
