"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.0737963693764799,0.0759135114720045,0.0771796641361859,0.0770784519673588,0.0885633480568178,0.107217192215631,0.11884701585457,0.116687863372093
2004,0.0775146731430885,0.0828969469420018,0.0786926318186995,0.0786651249950161,0.0886008074690891,0.105436616063319,0.118735775325289,0.116523828594313
2005,0.082311369777593,0.0853742500245894,0.0896293353011296,0.0796777426566957,0.0884937362702606,0.105989165329053,0.118493933058902,0.122080921095427
2006,0.088271352676747,0.0874822190611664,0.0895225086790735,0.0846072347510216,0.0859027064063035,0.103085007417092,0.116594441929155,0.120034586236712
2007,0.0852971845672576,0.086684350132626,0.0896917926815191,0.0861271455330861,0.0822934038760136,0.0997872237535664,0.115501519756839,0.119194024665624
2008,0.0869657665320008,0.091483361534123,0.0909791827293755,0.0858224337593224,0.0855855855855856,0.0943781222881535,0.112546731851608,0.117490815640146
2009,0.0890119250425894,0.0892045454545455,0.0917048770320967,0.0883646392367323,0.084714496537632,0.0924716553287982,0.106366601170823,0.114328629313958
2010,0.089441257701296,0.0881877022653722,0.092481468408048,0.0884787226250641,0.0850017374568977,0.0871494081262664,0.106480766259849,0.112440028582123
2011,0.0851931330472103,0.0932814467208424,0.0977045670789724,0.0966769539941147,0.0857030739045127,0.0850549495195726,0.103217158176944,0.114125660871439
2012,0.0909090909090909,0.0918426887618159,0.0971155057312004,0.0962508619751025,0.0900495615707206,0.0869009584664537,0.0996170620146793,0.10878640776699
2013,0.088101921831138,0.0927799886299034,0.0969081384949534,0.0993018948568172,0.0924537116722811,0.0856366459627329,0.0945612909759968,0.106320312144169
2014,0.0869654605263158,0.0969036697247706,0.0940438871473354,0.0995313626532084,0.094154598638151,0.0850779174282538,0.0875894757206423,0.101378513894777
2015,0.0842764753435732,0.0960206597018429,0.0933533506209909,0.102245033601654,0.0975645044610562,0.0852624594514892,0.0856763475226581,0.0997461784166096
2016,0.0948307244266473,0.0950126991456938,0.101974728554194,0.101347435525935,0.0988257419384432,0.0865658099076934,0.0809608667759641,0.0944957685468669
2017,0.0845292264613231,0.0956221198156682,0.100545746388443,0.102162976019977,0.101737706409498,0.089496644295302,0.0800499698215965,0.0898082495838214
2018,0.0928305715251945,0.0971623155505108,0.0978998794492735,0.0988426532828945,0.102690142103852,0.0906310367031552,0.08112576051166,0.0864715574363169
2019,0.0846245530393325,0.0968260776324255,0.0983669548511047,0.101515324142646,0.104790553585058,0.0914161316977055,0.0830322998954653,0.0826159258798376
