"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.433898973954223,0.431592861863847,0.41735679779158,0.393754544720045,0.364517461628905,0.357113123113748,0.342097617664149,0.339162427325581
2004,0.42501517911354,0.41240984092481,0.412025965152033,0.397113352737132,0.363802674741358,0.352173348903594,0.339524198050414,0.33547456948338
2005,0.414258989815007,0.410543916592899,0.396662314809559,0.396345694240999,0.357359140295672,0.342370585874799,0.33364943209983,0.330579587588629
2006,0.398242746219861,0.401849217638691,0.392977064481248,0.383911003481156,0.360226104830421,0.33764111331808,0.337451221352651,0.328467524540969
2007,0.401668404588113,0.393103448275862,0.392012005079072,0.385756336251386,0.358790039680258,0.337492141786353,0.333554518600968,0.331509466736147
2008,0.403997448437168,0.386576424139876,0.383073364569124,0.3833152194281,0.358763827118257,0.340713464831015,0.334784930775235,0.329619344935235
2009,0.3896933560477,0.385340909090909,0.374799023402608,0.370676803816339,0.365592008173459,0.335215419501134,0.337047015212591,0.332751152717619
2010,0.381559379647334,0.369625520110957,0.368749264619367,0.372701970262946,0.358343802624896,0.33737869254559,0.336918739378959,0.33211405627956
2011,0.375321888412017,0.363282591278471,0.355673168411037,0.362735950620828,0.355003270111184,0.339265037479432,0.323226220594344,0.329515885774898
2012,0.37680846469445,0.357918076788423,0.357853633958937,0.358146118390012,0.349701359766171,0.334744408945687,0.327518349111797,0.32504854368932
2013,0.372057870870222,0.356338828880045,0.343618244538137,0.350762216840006,0.350463497996017,0.334277950310559,0.325478545626414,0.327857652542244
2014,0.362047697368421,0.34552752293578,0.338753918495298,0.340483056957462,0.348278507720341,0.341611863799959,0.324434126523506,0.329147601853611
2015,0.358528698464026,0.337598309660758,0.334038487784905,0.33697658961672,0.343790692066554,0.334856974343851,0.32681766949218,0.324506616472736
2016,0.363669457590098,0.338374509351189,0.326179439964442,0.326282237032744,0.33581028393193,0.338533214678323,0.327535818661344,0.324518363035951
2017,0.359642982149107,0.338824884792627,0.322375601926164,0.32275715177555,0.330118728108084,0.335553691275168,0.32502842384515,0.32037733522412
2018,0.347987825498816,0.328036322360953,0.314383605101199,0.313644705794224,0.323286263294307,0.331970379909852,0.325925825553192,0.315185567132511
2019,0.344117146262557,0.326077632425477,0.316810758885687,0.310052789487676,0.320545054550352,0.325176380855527,0.321913911052889,0.309953957713497
