"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.228887134964483,0.232839203096969,0.247412008281574,0.247313565484366,0.241062633067463,0.22663648662712,0.211587947206773,0.19039183624031
2004,0.239627605747824,0.242663768402332,0.25862658011616,0.260157091025079,0.251577088064598,0.239496561567406,0.223364967578477,0.202082498998799
2005,0.243192683433798,0.256614537228288,0.26406312084918,0.267866779739419,0.268241999643769,0.248294542536116,0.233108472165348,0.210417615299551
2006,0.255210461789947,0.266104450314977,0.272096067383757,0.280460118056607,0.273752426630124,0.258617655193222,0.240734751956536,0.222165708763542
2007,0.267153284671533,0.283076923076923,0.280445573127092,0.282656064834283,0.283915118753235,0.264132695004594,0.250781283445353,0.224752475247525
2008,0.283861365086115,0.289114495205866,0.290670778720123,0.290859348648953,0.289599726308587,0.270774210193025,0.255535927036687,0.23044550613153
2009,0.300894378194208,0.306477272727273,0.30256654558447,0.307356887298748,0.296060846861165,0.285011337868481,0.262219701419977,0.24069093195473
2010,0.296367112810707,0.308021266759131,0.310448288033886,0.309858639126932,0.307529870893587,0.291351178415271,0.262532828672949,0.244802477117289
2011,0.299570815450644,0.319446034107817,0.32272835394862,0.31680183736453,0.320889470241988,0.302110630345136,0.280179737945097,0.258166630757247
2012,0.314618872813647,0.322558058116466,0.322395767728933,0.318477116829383,0.324742661075105,0.311222044728435,0.283569123852073,0.266537216828479
2013,0.32152882746707,0.333939738487777,0.338571611089817,0.329320416013677,0.332439941970543,0.317682453416149,0.293457344451572,0.27144093400337
2014,0.334703947368421,0.343233944954128,0.350052246603971,0.339221341023792,0.335475208593076,0.323239556049671,0.299864577287677,0.27466487347786
2015,0.338520614389652,0.348515083930039,0.354442473044902,0.34144450188317,0.337545213407282,0.332331907991743,0.305773001682956,0.279902464065708
2016,0.318347287950491,0.353959824520896,0.357800495269541,0.352760069545059,0.347828081280675,0.337084925578879,0.317071779884525,0.28554621174646
2017,0.336541827091355,0.361866359447005,0.365714285714286,0.359920678638317,0.353932584269663,0.344312080536913,0.323989725306346,0.292336148961095
2018,0.347818735204599,0.366855845629966,0.376498953112112,0.370987677441103,0.360465635892394,0.352108821635544,0.331345953197198,0.30416177708237
2019,0.351098246211476,0.364143255414969,0.372782580851745,0.376780221032243,0.366946527185381,0.361072268480264,0.3430590290183,0.316832019186171
