"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.00047793024142267,0.000933666976831113,0.00162422535669112,0.00265099558517242,0.00410147745204006,0.00660761484805116,0.0105280866227232,0.0170419052627152
2004,0.000474123789777676,0.000890681261601033,0.00161404225956358,0.00262215180378137,0.00393387604046889,0.00635856463261902,0.00990301744988476,0.0161967889752343
2005,0.00046317365122456,0.000903479395391269,0.0015928451893173,0.00264140400265057,0.00396522290224041,0.00635134441993805,0.00964811284875612,0.0158729953864235
2006,0.000468245376268264,0.000889519138173268,0.00156746341670985,0.00262579717554917,0.0039252358441672,0.0061432465528128,0.00938167665486987,0.0150913803381955
2007,0.000458366902296251,0.000870012635260426,0.00153905628472559,0.00252880076802693,0.00388785215564063,0.00587933920764965,0.00907951327683012,0.0145470809186114
2008,0.000453097954902928,0.000834973847375823,0.00149689408460057,0.00251752041552154,0.00384928991816583,0.00579073390221609,0.0089383173115498,0.0142981645357973
2009,0.000459687887977899,0.000843673607991276,0.00148799304888473,0.00248823139439163,0.00377485996400835,0.00569644313315739,0.008684494447092,0.0137191283072514
2010,0.000471082424712382,0.000831975075365287,0.00152107028654788,0.00249158431037333,0.00390224720038719,0.00574713136813352,0.00878466178780692,0.013755337161151
2011,0.000477695318954909,0.00083545575942852,0.00153566470784792,0.0025182313315295,0.00389501148124051,0.00576233637122056,0.00872124135837047,0.0137022232133652
2012,0.000477188120313644,0.00082011214739317,0.0014812039712461,0.00248831477339926,0.00390970387607714,0.00587033040301319,0.00853698847084293,0.0134398546929885
2013,0.000473888207203449,0.000849926386421278,0.0014921078134158,0.00253828928379215,0.00396054124897527,0.00594744797108561,0.00858354174475605,0.0135007970280906
2014,0.000490622295474857,0.000855950248088149,0.00148505056853229,0.00251153868231317,0.00400419274733052,0.00599300971750902,0.00857371162456133,0.0134357013297823
2015,0.000487860429323094,0.000852762057163587,0.0014243286293748,0.00247961178080203,0.00392718188477268,0.00597146604245975,0.00854810388809582,0.013277477854777
2016,0.000528997670734865,0.000886717853074066,0.00152073624143602,0.0025780851741146,0.00408871427837316,0.00616378310375503,0.0088482235436287,0.0137390306063876
2017,0.000539210075169508,0.000893097192125064,0.0015048335349762,0.00259702730927142,0.00412020510498342,0.00625451445291311,0.00900762391694016,0.0136728523699498
2018,0.000548520404699356,0.000900656743358117,0.00153775860341351,0.00260151197354192,0.00419918487625418,0.00639249464325002,0.00919853384850807,0.0136068915906723
2019,0.000539176205225905,0.000941428718522302,0.00154870229855588,0.00261160751479623,0.00418702915778077,0.00638818723361405,0.00922544383097197,0.0136012982602826
2020,0.000486621052158806,0.000876555164760459,0.001534868161206,0.00256646588800982,0.00398382410263887,0.00610897920394547,0.00914256678485812,0.0143915116754663
2021,0.000486668426639338,0.000872789238717909,0.00152855395663468,0.00255930060152716,0.00397801236156895,0.00607874534912973,0.00907193971681173,0.0142572348452629
2022,0.000486715805731962,0.000869039492146462,0.00152226572770113,0.00255215531972511,0.0039722090988689,0.00604866112421884,0.00900185824857972,0.0141242108554515
2023,0.000486763189437128,0.000865305855534586,0.00151600336754567,0.00254502998675282,0.00396641430217018,0.00601872578868175,0.00893231816535939,0.0139924280166807
2024,0.000486810577755284,0.000861588259669392,0.00150976676974827,0.0025379245469154,0.0039606279591223,0.00598893860565235,0.00886331528490773,0.0138618747486643
2025,0.000486857970686881,0.000857886635635347,0.00150355582832664,0.00253083894467343,0.00395485005739278,0.00595929884191134,0.00879484545728989,0.0137325395791629
2026,0.000486905368232366,0.000854200914812999,0.00149737043773454,0.00252377312464256,0.00394908058466713,0.00592980576786821,0.00872690456462961,0.0136044111429766
2027,0.00048695277039219,0.000850531028877705,0.00149121049285988,0.00251672703159305,0.00394331952864883,0.00590045865754322,0.00865948852086154,0.0134774781809462
2028,0.000487000177166801,0.000846876909798362,0.00148507588902302,0.00250970061044939,0.00393756687705929,0.00587125678854959,0.00859259327148553,0.0133517295389631
2029,0.000487047588556649,0.000843238489836152,0.00147896652197494,0.00250269380628979,0.00393182261763784,0.00584219944207569,0.00852621479332278,0.0132271541669901
