"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.704065718798623,0.718444852754512,0.719988676376554,0.7119237132048,0.69381808707925,0.689743053068604,0.696879887380657,0.712455170539261
2004,0.704065718798623,0.718444852754512,0.719988676376554,0.7119237132048,0.69381808707925,0.689743053068604,0.696879887380657,0.712455170539261
2005,0.704065718798623,0.718444852754512,0.719988676376554,0.7119237132048,0.69381808707925,0.689743053068604,0.696879887380657,0.712455170539261
2006,0.704065718798623,0.718444852754512,0.719988676376554,0.7119237132048,0.69381808707925,0.689743053068604,0.696879887380657,0.712455170539261
2007,0.704065718798623,0.718444852754512,0.719988676376554,0.7119237132048,0.69381808707925,0.689743053068604,0.696879887380657,0.712455170539261
2008,0.704065718798623,0.718444852754512,0.719988676376554,0.7119237132048,0.69381808707925,0.689743053068604,0.696879887380657,0.712455170539261
2009,0.704065718798623,0.718444852754512,0.719988676376554,0.7119237132048,0.69381808707925,0.689743053068604,0.696879887380657,0.712455170539261
2010,0.704065718798623,0.718444852754512,0.719988676376554,0.7119237132048,0.69381808707925,0.689743053068604,0.696879887380657,0.712455170539261
2011,0.667202045221576,0.661923408584026,0.657817968526266,0.65429106236284,0.644981898986999,0.642498898662156,0.653424939718785,0.676055742011667
2012,0.667202045221576,0.661923408584026,0.657817968526266,0.65429106236284,0.644981898986999,0.642498898662156,0.653424939718785,0.676055742011667
2013,0.667202045221576,0.661923408584026,0.657817968526266,0.65429106236284,0.644981898986999,0.642498898662156,0.653424939718785,0.676055742011667
2014,0.667202045221576,0.661923408584026,0.657817968526266,0.65429106236284,0.644981898986999,0.642498898662156,0.653424939718785,0.676055742011667
2015,0.667202045221576,0.661923408584026,0.657817968526266,0.65429106236284,0.644981898986999,0.642498898662156,0.653424939718785,0.676055742011667
2016,0.667202045221576,0.661923408584026,0.657817968526266,0.65429106236284,0.644981898986999,0.642498898662156,0.653424939718785,0.676055742011667
2017,0.667202045221576,0.661923408584026,0.657817968526266,0.65429106236284,0.644981898986999,0.642498898662156,0.653424939718785,0.676055742011667
2018,0.667202045221576,0.661923408584026,0.657817968526266,0.65429106236284,0.644981898986999,0.642498898662156,0.653424939718785,0.676055742011667
2019,0.667202045221576,0.661923408584026,0.657817968526266,0.65429106236284,0.644981898986999,0.642498898662156,0.653424939718785,0.676055742011667
