"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.295934281201377,0.281555147245488,0.280011323623447,0.288076286795201,0.30618191292075,0.310256946931396,0.303120112619343,0.287544829460739
2004,0.295934281201377,0.281555147245488,0.280011323623447,0.288076286795201,0.30618191292075,0.310256946931396,0.303120112619343,0.287544829460739
2005,0.295934281201377,0.281555147245488,0.280011323623447,0.288076286795201,0.30618191292075,0.310256946931396,0.303120112619343,0.287544829460739
2006,0.295934281201377,0.281555147245488,0.280011323623447,0.288076286795201,0.30618191292075,0.310256946931396,0.303120112619343,0.287544829460739
2007,0.295934281201377,0.281555147245488,0.280011323623447,0.288076286795201,0.30618191292075,0.310256946931396,0.303120112619343,0.287544829460739
2008,0.295934281201377,0.281555147245488,0.280011323623447,0.288076286795201,0.30618191292075,0.310256946931396,0.303120112619343,0.287544829460739
2009,0.295934281201377,0.281555147245488,0.280011323623447,0.288076286795201,0.30618191292075,0.310256946931396,0.303120112619343,0.287544829460739
2010,0.295934281201377,0.281555147245488,0.280011323623447,0.288076286795201,0.30618191292075,0.310256946931396,0.303120112619343,0.287544829460739
2011,0.332797954778424,0.338076591415974,0.342182031473734,0.34570893763716,0.355018101013001,0.357501101337844,0.346575060281214,0.323944257988333
2012,0.332797954778424,0.338076591415974,0.342182031473734,0.34570893763716,0.355018101013001,0.357501101337844,0.346575060281214,0.323944257988333
2013,0.332797954778424,0.338076591415974,0.342182031473734,0.34570893763716,0.355018101013001,0.357501101337844,0.346575060281214,0.323944257988333
2014,0.332797954778424,0.338076591415974,0.342182031473734,0.34570893763716,0.355018101013001,0.357501101337844,0.346575060281214,0.323944257988333
2015,0.332797954778424,0.338076591415974,0.342182031473734,0.34570893763716,0.355018101013001,0.357501101337844,0.346575060281214,0.323944257988333
2016,0.332797954778424,0.338076591415974,0.342182031473734,0.34570893763716,0.355018101013001,0.357501101337844,0.346575060281214,0.323944257988333
2017,0.332797954778424,0.338076591415974,0.342182031473734,0.34570893763716,0.355018101013001,0.357501101337844,0.346575060281214,0.323944257988333
2018,0.332797954778424,0.338076591415974,0.342182031473734,0.34570893763716,0.355018101013001,0.357501101337844,0.346575060281214,0.323944257988333
2019,0.332797954778424,0.338076591415974,0.342182031473734,0.34570893763716,0.355018101013001,0.357501101337844,0.346575060281214,0.323944257988333
