"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.61143280406495,0.617850412046219,0.620320295293974,0.619321655895703,0.604331455816701,0.597660221215169,0.607130054065732,0.632946346795712
2004,0.61143280406495,0.617850412046219,0.620320295293974,0.619321655895703,0.604331455816701,0.597660221215169,0.607130054065732,0.632946346795712
2005,0.61143280406495,0.617850412046219,0.620320295293974,0.619321655895703,0.604331455816701,0.597660221215169,0.607130054065732,0.632946346795712
2006,0.61143280406495,0.617850412046219,0.620320295293974,0.619321655895703,0.604331455816701,0.597660221215169,0.607130054065732,0.632946346795712
2007,0.61143280406495,0.617850412046219,0.620320295293974,0.619321655895703,0.604331455816701,0.597660221215169,0.607130054065732,0.632946346795712
2008,0.61143280406495,0.617850412046219,0.620320295293974,0.619321655895703,0.604331455816701,0.597660221215169,0.607130054065732,0.632946346795712
2009,0.61143280406495,0.617850412046219,0.620320295293974,0.619321655895703,0.604331455816701,0.597660221215169,0.607130054065732,0.632946346795712
2010,0.61143280406495,0.617850412046219,0.620320295293974,0.619321655895703,0.604331455816701,0.597660221215169,0.607130054065732,0.632946346795712
2011,0.570773737280304,0.560448804074702,0.556725962565462,0.564095351238305,0.57079220941486,0.579195458005897,0.58809912707202,0.598428136396396
2012,0.570773737280304,0.560448804074702,0.556725962565462,0.564095351238305,0.57079220941486,0.579195458005897,0.58809912707202,0.598428136396396
2013,0.570773737280304,0.560448804074702,0.556725962565462,0.564095351238305,0.57079220941486,0.579195458005897,0.58809912707202,0.598428136396396
2014,0.570773737280304,0.560448804074702,0.556725962565462,0.564095351238305,0.57079220941486,0.579195458005897,0.58809912707202,0.598428136396396
2015,0.570773737280304,0.560448804074702,0.556725962565462,0.564095351238305,0.57079220941486,0.579195458005897,0.58809912707202,0.598428136396396
2016,0.570773737280304,0.560448804074702,0.556725962565462,0.564095351238305,0.57079220941486,0.579195458005897,0.58809912707202,0.598428136396396
2017,0.570773737280304,0.560448804074702,0.556725962565462,0.564095351238305,0.57079220941486,0.579195458005897,0.58809912707202,0.598428136396396
2018,0.570773737280304,0.560448804074702,0.556725962565462,0.564095351238305,0.57079220941486,0.579195458005897,0.58809912707202,0.598428136396396
2019,0.570773737280304,0.560448804074702,0.556725962565462,0.564095351238305,0.57079220941486,0.579195458005897,0.58809912707202,0.598428136396396
