"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.38856719593505,0.382149587953781,0.379679704706026,0.380678344104297,0.395668544183299,0.402339778784831,0.392869945934268,0.367053653204288
2004,0.38856719593505,0.382149587953781,0.379679704706026,0.380678344104297,0.395668544183299,0.402339778784831,0.392869945934268,0.367053653204288
2005,0.38856719593505,0.382149587953781,0.379679704706026,0.380678344104297,0.395668544183299,0.402339778784831,0.392869945934268,0.367053653204288
2006,0.38856719593505,0.382149587953781,0.379679704706026,0.380678344104297,0.395668544183299,0.402339778784831,0.392869945934268,0.367053653204288
2007,0.38856719593505,0.382149587953781,0.379679704706026,0.380678344104297,0.395668544183299,0.402339778784831,0.392869945934268,0.367053653204288
2008,0.38856719593505,0.382149587953781,0.379679704706026,0.380678344104297,0.395668544183299,0.402339778784831,0.392869945934268,0.367053653204288
2009,0.38856719593505,0.382149587953781,0.379679704706026,0.380678344104297,0.395668544183299,0.402339778784831,0.392869945934268,0.367053653204288
2010,0.38856719593505,0.382149587953781,0.379679704706026,0.380678344104297,0.395668544183299,0.402339778784831,0.392869945934268,0.367053653204288
2011,0.429226262719696,0.439551195925298,0.443274037434538,0.435904648761695,0.42920779058514,0.420804541994103,0.41190087292798,0.401571863603604
2012,0.429226262719696,0.439551195925298,0.443274037434538,0.435904648761695,0.42920779058514,0.420804541994103,0.41190087292798,0.401571863603604
2013,0.429226262719696,0.439551195925298,0.443274037434538,0.435904648761695,0.42920779058514,0.420804541994103,0.41190087292798,0.401571863603604
2014,0.429226262719696,0.439551195925298,0.443274037434538,0.435904648761695,0.42920779058514,0.420804541994103,0.41190087292798,0.401571863603604
2015,0.429226262719696,0.439551195925298,0.443274037434538,0.435904648761695,0.42920779058514,0.420804541994103,0.41190087292798,0.401571863603604
2016,0.429226262719696,0.439551195925298,0.443274037434538,0.435904648761695,0.42920779058514,0.420804541994103,0.41190087292798,0.401571863603604
2017,0.429226262719696,0.439551195925298,0.443274037434538,0.435904648761695,0.42920779058514,0.420804541994103,0.41190087292798,0.401571863603604
2018,0.429226262719696,0.439551195925298,0.443274037434538,0.435904648761695,0.42920779058514,0.420804541994103,0.41190087292798,0.401571863603604
2019,0.429226262719696,0.439551195925298,0.443274037434538,0.435904648761695,0.42920779058514,0.420804541994103,0.41190087292798,0.401571863603604
