"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.288677451,0.292256973,0.308641976,0.336682319,0.332310156,0.300193901,0.249247162,0.238059136
2004,0.298671065,0.287916592,0.306088095,0.329854085,0.343352012,0.299701701,0.270915462,0.267352863
2005,0.296541648,0.283559443,0.284499314,0.328482328,0.333250093,0.314630917,0.258774663,0.264585045
2006,0.306782946,0.287304316,0.295176907,0.312235436,0.347156262,0.312670191,0.264951903,0.265295217
2007,0.318688713,0.306707486,0.288378378,0.309563511,0.339565267,0.331716927,0.272491522,0.242351047
2008,0.32591585,0.305033525,0.289565607,0.293329478,0.343151529,0.347692308,0.304505537,0.276737968
2009,0.316353624,0.312245689,0.285791077,0.290359061,0.322140263,0.3666981,0.310369318,0.289997346
2010,0.321046252,0.316063704,0.290659934,0.286569398,0.315840309,0.367418808,0.307299012,0.281073099
2011,0.330329071,0.320192686,0.300462963,0.299018233,0.329718918,0.343790695,0.326428572,0.288071665
2012,0.334147118,0.322964407,0.303665912,0.300018339,0.317238587,0.347426914,0.339421141,0.290993583
2013,0.332205897,0.330545168,0.323868592,0.301757277,0.306664027,0.347154669,0.356086957,0.319090136
2014,0.316879314,0.343270189,0.332281912,0.305274868,0.283261802,0.337143504,0.346355273,0.329251154
2015,0.330010172,0.33826984,0.337096455,0.30757883,0.300542216,0.322524101,0.351102693,0.315901607
2016,0.345266507,0.34746993,0.343438332,0.309932786,0.303783173,0.323281984,0.367974277,0.338796761
2017,0.353273028,0.367992384,0.344237991,0.310173222,0.297723623,0.324339086,0.374478311,0.371765931
2018,0.3797672,0.370791246,0.352267115,0.329646667,0.3041988,0.337163528,0.363240959,0.367651731
2019,0.379151378,0.363938513,0.345141599,0.338872104,0.327194904,0.326815357,0.366064894,0.394559858
