"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.141769743,0.127416912,0.115991961,0.115867641,0.133858267,0.1734532,0.225619644,0.259034622
2004,0.129304491,0.13714133,0.113345179,0.10363191,0.120096792,0.16423934,0.213096803,0.242016363
2005,0.132196786,0.125937165,0.119433014,0.105197506,0.126357848,0.158722277,0.208307373,0.229800055
2006,0.138468993,0.129490543,0.118903266,0.121245716,0.111548708,0.147845587,0.195943119,0.218541277
2007,0.136704479,0.130438817,0.130540541,0.110446297,0.121072193,0.144112745,0.191302613,0.231615674
2008,0.116898261,0.136462367,0.12476489,0.114131481,0.112330607,0.115524476,0.16914853,0.219518717
2009,0.133444784,0.12526642,0.123633758,0.113655641,0.115160188,0.113835376,0.154829544,0.18944017
2010,0.128054938,0.127605191,0.119996393,0.106995886,0.106138657,0.110734315,0.154090266,0.183608172
2011,0.116432613,0.117282737,0.118981481,0.109957924,0.10801137,0.107375401,0.135892857,0.175388967
2012,0.11750345,0.12042906,0.121787604,0.117641665,0.105172588,0.097366513,0.136820925,0.180349635
2013,0.124088363,0.112281048,0.118809961,0.118616144,0.099712843,0.09350681,0.119710146,0.15922619
2014,0.130098307,0.11784646,0.122621982,0.118105127,0.11041748,0.104006337,0.10601557,0.146356155
2015,0.13082401,0.114595036,0.114676173,0.120413055,0.114446166,0.101993865,0.100392368,0.142940151
2016,0.113166268,0.115512235,0.118198874,0.115197908,0.111424808,0.096580357,0.110482314,0.130350945
2017,0.10981422,0.110640999,0.104170784,0.11302517,0.103050912,0.100720996,0.105223221,0.124674422
2018,0.105706445,0.101641414,0.099278869,0.10834883,0.112729696,0.094052559,0.10016155,0.105815062
2019,0.105089848,0.107914416,0.107275093,0.105840887,0.120246864,0.099806498,0.094657234,0.091615601
