"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.569552807,0.580326117,0.57527036,0.547559245,0.533965034,0.526176627,0.525133194,0.503158958
2004,0.571927442,0.574852967,0.580473207,0.566620513,0.536551198,0.536058958,0.516425756,0.491158618
2005,0.571261568,0.590414137,0.596159122,0.566216216,0.540142341,0.526481298,0.533125649,0.505341002
2006,0.554748062,0.583386118,0.585919826,0.566518847,0.541295031,0.539644402,0.539104977,0.516163505
2007,0.544510672,0.56294647,0.581171171,0.580088278,0.539362541,0.524170329,0.536006384,0.52657005
2008,0.557283063,0.558504108,0.585848634,0.592442645,0.544517862,0.536923076,0.526155021,0.503475936
2009,0.550004916,0.56248789,0.590664755,0.595796814,0.562699549,0.519466523,0.534801136,0.520562483
2010,0.550898807,0.556429413,0.58916336,0.606434717,0.578021035,0.521846876,0.538258111,0.535564853
2011,0.553028715,0.562622887,0.58037037,0.591023844,0.562269713,0.548833905,0.537142857,0.536775107
2012,0.548455578,0.556704047,0.574640967,0.582431688,0.577588825,0.555206572,0.523603158,0.528435494
2013,0.543811436,0.557173785,0.557030719,0.579718104,0.593326071,0.559338522,0.524057972,0.521471088
2014,0.55302238,0.53898305,0.545194677,0.57671271,0.60641826,0.558736986,0.547487615,0.524392693
2015,0.539165818,0.54723726,0.548128343,0.572100314,0.585108443,0.57537248,0.548640239,0.541158241
2016,0.541666668,0.537017836,0.538461538,0.574962658,0.584792019,0.580028407,0.521543409,0.530659468
2017,0.536912753,0.521472392,0.551690056,0.576897311,0.599225466,0.574939917,0.52055141,0.503559645
2018,0.514526356,0.527462121,0.5485528,0.561710873,0.58278587,0.568677519,0.53672176,0.526692088
2019,0.515570609,0.527939344,0.547683378,0.555387714,0.552458689,0.573276301,0.539155892,0.513824541
