"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000165177862865686,0.000321187138322578,0.000550244416553127,0.00110671515145124,0.00183548332343405,0.00295657778790218,0.00565646732719449,0.0102292498048632
2004,0.000154236529342651,0.000299510063490836,0.000542140904902778,0.0010208494787549,0.00164123133769965,0.00283211441843273,0.00463111311330624,0.00853120548725288
2005,0.000157701454536604,0.00028353144640518,0.000525268897159696,0.000941764741962616,0.00171260911918653,0.00276579385014013,0.004725263436426,0.00822711105449065
2006,0.000159022863203802,0.000261403067154152,0.000497406253869785,0.000896180740822841,0.00159903999517454,0.00268361045099833,0.00450562830640936,0.00770919217957029
2007,0.000136757070867096,0.000257214091846704,0.000478738018857439,0.000847456424378687,0.00154734465352333,0.00245855580422209,0.00417670685670325,0.00809725567268863
2008,0.000119238576508025,0.000256152961652785,0.000461172664198308,0.000857070421713552,0.00145240390668345,0.00235307396758502,0.00375598645405911,0.00688433039113064
2009,0.000141955257641205,0.000226504989078114,0.000434069044487456,0.000792245128005543,0.00143363973944395,0.00215874542314624,0.00370556818105063,0.00614768705535746
2010,0.000143898166833525,0.000251542971468002,0.000431878908226698,0.000787614290192302,0.00144036052747987,0.00222207890229162,0.00381660445442019,0.00665071283668997
2011,0.000153953262881239,0.000268898409866833,0.000457878953396588,0.000771380760791318,0.00130663712483565,0.00246529240105571,0.00382817132754983,0.00656263673672811
2012,0.00013680799078942,0.000250708308219244,0.000435711415775627,0.000782567755025068,0.00137826641279226,0.00236568640645069,0.00366044230076961,0.00640167681648485
2013,0.000136655817687903,0.000243365221370545,0.000431297899988578,0.000736772125420738,0.00132690385426835,0.00232331985743412,0.00360735237638751,0.00601164704337027
2014,0.000143604798286437,0.000247106538391815,0.000392681245340652,0.000758799137224201,0.00135942889988723,0.00222766451443403,0.00376038868365338,0.00595686959323418
2015,0.000138817078818178,0.000233366619626805,0.000391860616860383,0.000681078748272982,0.00119934869245819,0.00231518394785039,0.00374052971130818,0.00624555142917596
2016,0.000163011367858261,0.000228773346692171,0.000406895946024335,0.000722514805020784,0.00120079749439749,0.00223745800942501,0.00362618476553608,0.00617024399767897
2017,0.000141727189399506,0.000211204142744867,0.000393393152162506,0.000713831010726021,0.00123518839757437,0.00210802078462363,0.00352446920311272,0.00578792758750558
2018,0.000127018248816756,0.00020534924174427,0.000396201563512994,0.000688939365184019,0.00121701657751165,0.00202982614185924,0.00350638007624439,0.00587008475856077
2019,0.000146253327389326,0.000244719807402747,0.000392719627421769,0.000633427629406081,0.00105647177697445,0.00193225930553221,0.00333818935146985,0.00541585181156645
