"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000166685074675708,0.000388895844193718,0.000778213151351353,0.00154362914190963,0.00268104107653188,0.00403305920991257,0.00773551724445402,0.0136564051832466
2004,0.000159590046199329,0.000352819099671363,0.000792434425171207,0.00151941805816996,0.00258718826462638,0.00403359639446452,0.00694957059699274,0.0119105448654733
2005,0.000174431389019033,0.000397361749617829,0.00085917310821763,0.00150317056309423,0.00266835730444963,0.00419380136164085,0.00732715345613193,0.0121465360188821
2006,0.000171779227895349,0.000356415840338604,0.000723132307971231,0.00158179499127902,0.00258187174396763,0.00424006748021665,0.00677221334469512,0.0121147614069012
2007,0.000175351216395398,0.000339925287518365,0.00075134362696468,0.00146775938857576,0.00265904974068117,0.00420045426820211,0.00665175716204278,0.0131986814063401
2008,0.000147835277189119,0.000322426269598236,0.000810245992145501,0.00146713639344776,0.00248275732652313,0.00400114476187691,0.00606505624593694,0.0115317423226349
2009,0.000195527788543426,0.000343512403341329,0.000783937812142998,0.00148891820133833,0.00257308873637024,0.00393744129099804,0.00622670805007731,0.0106260739617993
2010,0.000191717258569461,0.000420344442274548,0.000832312797159016,0.00148994443318391,0.00264693289419343,0.00413672348530061,0.00663639003297596,0.0110581187425239
2011,0.000176237948357244,0.000355108171652891,0.000709695968513236,0.00122913060517829,0.00212575174895563,0.00379154235739347,0.00604155022504235,0.0101064452376775
2012,0.000187175000680481,0.000376037044259691,0.000678715273393602,0.00127647403820933,0.00220487548040393,0.00387692873079337,0.00594280058708203,0.0106169314723494
2013,0.000180487756119061,0.000375309263655013,0.00066915763650359,0.00128002372183024,0.00218703926140962,0.00384525260239966,0.00598761150400666,0.00984922410421267
2014,0.000180776086378913,0.000384004841438385,0.000745515802448648,0.00122249367106448,0.00231986852779957,0.00387612182591375,0.00635625131663743,0.0099678210188229
2015,0.000195710632795232,0.00038338488062474,0.00069096569054833,0.00125198843071433,0.0021247857524655,0.00378665586323104,0.00622907211597669,0.0107288980789679
2016,0.000203627429285291,0.000399117180906326,0.000743607096344449,0.00133083196766582,0.00217112427943981,0.00396344896938748,0.00621754554449285,0.0110242750247022
2017,0.000196649441482768,0.000387053429804282,0.000762009034940837,0.00140169727990493,0.00226531704544424,0.003813863974276,0.00637023431071487,0.0107799289195111
2018,0.000223827377198874,0.000392268919829743,0.000811041010640453,0.00142188275303835,0.00235176538088062,0.00362067234277756,0.00673164265849193,0.0114447974208408
2019,0.000210996585579246,0.000434014846685143,0.000891018725406599,0.00145366530460203,0.00214430283038508,0.00388011843019579,0.006461170988102,0.0111786235818162
