"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000900794974948924,0.00181633296032998,0.00319105766283244,0.00462942422589163,0.00690379383830669,0.0101688540522685,0.0137294824034434,0.0204869840937854
2004,0.0009576163490547,0.00168564343307942,0.00308877026076714,0.00480372332824817,0.00691029064053058,0.00983563225514932,0.0132004592038211,0.0199900718677548
2005,0.000894496804838322,0.00172336558328746,0.00299119373458853,0.00481974471636382,0.00609505186601742,0.00966722076981623,0.0127291834967858,0.0197523335150253
2006,0.000838517572886784,0.00168433388799681,0.00297164083102953,0.00423016050518495,0.0065262088171721,0.00969802569980801,0.0125052550627148,0.0187152833880389
2007,0.000783400295652356,0.00149244530730648,0.00254387368405125,0.00443061074225395,0.00585173032108232,0.00883175876103274,0.0119055810584104,0.0163934727625466
2008,0.000845138483992255,0.00131149303720853,0.00245937155868309,0.00426202059807305,0.00614947107770144,0.0102444721479214,0.0126492227547271,0.0168081956829546
2009,0.000629859867766687,0.00134029700068096,0.00249790112324707,0.00416178924945262,0.00550624610762285,0.0094455372321494,0.0124374851728114,0.0177411464924997
2010,0.000751596871863542,0.00127211516766193,0.0025413955120207,0.00432791314890762,0.00624450326147099,0.00903858509980904,0.0122688684103551,0.0176179733049792
2011,0.000922417697720841,0.00139511397634756,0.00272282644267009,0.00460393327167201,0.0065185446221617,0.00909854476846463,0.0132457755349635,0.0177659772803692
2012,0.000783556681792713,0.00136411483058366,0.00253983910503627,0.00420650827589428,0.00650362881065918,0.00990435882454604,0.0119157931094475,0.0163700023065303
2013,0.000751293145880418,0.00141744026406679,0.00247285032476543,0.00419943216357208,0.00683734337109136,0.010435849745248,0.012512926565476,0.0174154827032106
2014,0.000763403949440395,0.00125287321269095,0.00222480152361658,0.00411090577078693,0.00646784690409882,0.00911265125820184,0.0137319466451519,0.0179469072004038
2015,0.000731516671921596,0.00139651468819073,0.0022577741776201,0.0040290511102168,0.00626255340105441,0.00951107801514866,0.0134171652487379,0.0174924190658419
2016,0.000883972637706277,0.00137569637250054,0.00222163124121018,0.00426366179871755,0.00660391513165617,0.00970769078308159,0.0117493810670979,0.0184071196379513
2017,0.000984629736426085,0.00132744626705131,0.00240069494925027,0.00413450265783252,0.00690176951178168,0.00961681221705732,0.0121405557365679,0.0176176309729059
2018,0.00091927871010419,0.00153979902212372,0.00244663582667634,0.00413386799008306,0.00627872386120651,0.0103538761044492,0.0123363055365472,0.018647379999153
2019,0.000918326721282723,0.00145710505027934,0.00224357673987053,0.0040534459968207,0.00579413356196668,0.00970887093006786,0.0126924302175223,0.0196818191709071
2020,0.000811527266863622,0.00140308360175656,0.00247402240439634,0.00424778072930806,0.00629889323716652,0.0096079086098381,0.0125794772766612,0.0178238500761618
2021,0.000802859434594596,0.00138346220195639,0.00243995275753421,0.00422256518758738,0.00627401805150165,0.00958756593670735,0.0125540020916165,0.0177024859546117
2022,0.000794284182475754,0.00136411519730248,0.00240635228218615,0.00419749932956855,0.00624924110132651,0.00956726633479707,0.0125285784973525,0.0175819482117585
2023,0.000785800521668831,0.00134503875052037,0.00237321451741317,0.00417258226670393,0.00622456199869579,0.00954700971291326,0.0125032063893907,0.0174622312207188
2024,0.000777407473897236,0.00132622907799791,0.00234053309124959,0.00414781311572042,0.00619998035719623,0.009526795980055,0.0124778856634641,0.0173433293929234
2025,0.00076910407133324,0.00130768244903479,0.00230830171947773,0.00412319099858818,0.00617549579194057,0.009506625045414,0.0124526162155171,0.0172252371778558
2026,0.000760889356486373,0.00128939518510265,0.00227651420441962,0.00409871504248953,0.00615110791956155,0.0094864968183743,0.0124273979417046,0.0171079490627937
2027,0.000752762382093017,0.00127136365911543,0.00224516443374521,0.00407438437978794,0.00612681635820583,0.00946641120851176,0.012402230738392,0.0169914595725512
2028,0.000744722211007169,0.00125358429471001,0.00221424637929704,0.00405019814799734,0.00610262072752811,0.00944636812559371,0.0123771145021543,0.0168757632692237
2029,0.000736767916092377,0.00123605356553683,0.00218375409593116,0.00402615548975153,0.00607852064868508,0.00942636747957851,0.0123520491297762,0.0167608547519333
