"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000640250346733585,0.0014556286935308,0.00284645220938092,0.00463256638660686,0.00685831820998365,0.0101515851313848,0.0141160118507168,0.0209149325693556
2004,0.000731468999388319,0.00140883164772077,0.00295140314602696,0.00522863581766598,0.00733492063203303,0.010145661891293,0.0140450534227687,0.0212456189825871
2005,0.000742192642213886,0.00160272069941337,0.00314834247459748,0.00525542978323618,0.00701853373555558,0.0105413510945115,0.0139696343993483,0.022973491719116
2006,0.000768200547271684,0.00157254701847839,0.00310826823715417,0.00481331299975666,0.00763970401837626,0.0106461385398505,0.0142095225243522,0.0225825165371529
2007,0.000736036022452053,0.0015129549987809,0.00278512323078002,0.00518018580493726,0.00667880607995973,0.0101183126366655,0.0139534164902368,0.020395428879911
2008,0.000867493535909437,0.00146476748711451,0.00287490390145258,0.00497290545941348,0.0074122766120785,0.0117581219712987,0.0151381087760995,0.0208488978992264
2009,0.000789120849564074,0.00157214785208843,0.00290695883484385,0.00508182969755691,0.00701818301360854,0.0115011741364299,0.0151861324038949,0.0225569246575356
2010,0.000846783400135234,0.00150458457577812,0.00308758146154678,0.00541239121705345,0.00789836987311304,0.0112419168841387,0.0154515553335102,0.0229493626942404
2011,0.000814319143595637,0.00151173327274126,0.00284485150749237,0.00507926122744102,0.00720058978883291,0.0108470834137712,0.0160820297695432,0.0222028536957057
2012,0.00086012195457664,0.00142290882089089,0.00266457569432396,0.00467043446406345,0.00779929433680451,0.0124507948235408,0.0150901372335455,0.0201878777283638
2013,0.000783869815186363,0.00159779001839228,0.00274558761501156,0.00487487348905181,0.00855579158279049,0.0129439444629109,0.0164610010824181,0.0224490450602122
2014,0.000764075279960904,0.00160126325909783,0.0025693968482943,0.00485556273630085,0.00795519965062527,0.0116498843055103,0.0171972273905499,0.0231756537751452
2015,0.000732197452927855,0.00162561344530139,0.00261574032376798,0.0048301524405474,0.00780016903760901,0.0118627220499162,0.0177107651747399,0.0230724832108635
2016,0.00103276032876114,0.00165931811881637,0.0029597894590203,0.00520324088680394,0.00844903979599981,0.0131287844919455,0.0157414872244381,0.0248022449585789
2017,0.00096698564063479,0.00175602840517604,0.00327667928146641,0.0053852191619338,0.0094772282989646,0.0132068705654061,0.0166366972557126,0.0245264513917227
2018,0.001122266650993,0.00195874092370379,0.00342090651489164,0.00544445606270618,0.00891225939507791,0.0146384901686519,0.0180877123566404,0.0276899032925169
2019,0.00101153299816187,0.00192172327796831,0.00320365672583885,0.00574638267222814,0.00850132784632398,0.0139046877447284,0.0196466186097178,0.0305429813976964
2020,0.00110778349176988,0.00190603900301451,0.00323762280202881,0.00552173885056715,0.00929838767359873,0.0147590054203814,0.0187888689128222,0.0282618659685209
2021,0.00113995875725163,0.00194017768701715,0.00326914978306479,0.00556599669077564,0.00946475288212497,0.015094439473278,0.0191189427072786,0.0288388780203523
2022,0.00117306854443054,0.00197492782217247,0.00330098376420362,0.00561060926641672,0.00963409466934201,0.0154374970753663,0.0194548150790891,0.0294276707135727
2023,0.00120713999623114,0.00201030036005996,0.00333312773491846,0.0056555794207658,0.00980646629170161,0.0157883514902186,0.0197965878948662,0.0300284845691748
2024,0.0012422010439367,0.0020463064484107,0.00336558471379303,0.00570091001988766,0.00998192195851111,0.0161471799192404,0.020144364810766,0.0306415650187795
2025,0.00127828043008688,0.00208295743462052,0.00339835774880508,0.00574660395281917,0.0101605168489818,0.0165141635911674,0.0204982513039261,0.031267162504894
2026,0.00131540773204049,0.00212026486932621,0.00343144991761267,0.00579266413175341,0.0103423071295823,0.0168894878535959,0.0208583547044555,0.0319055325832175
2027,0.00135361338622254,0.00215824051004571,0.00346486432784313,0.00583909349222529,0.0105273499717022,0.0172733422665942,0.0212247842279868,0.0325569360270355
2028,0.0013929287130756,0.00219689632488351,0.00349860411738491,0.00588589499329858,0.0107157035696322,0.0176659206984412,0.0215976510088002,0.0332216389337448
2029,0.00143338594273583,0.00223624449630243,0.00353267245468229,0.00593307161775458,0.0109074271588658,0.0180674214235405,0.0219770681335296,0.0338999128335543
