"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000595484419457858,0.00112385632727688,0.00189961587015066,0.00307813172948231,0.00463308904139831,0.00750351277717409,0.0112966141828433,0.0181490448902176
2004,0.000576244133960685,0.00103421591733594,0.00184689122410288,0.00296731574900531,0.00441367336121765,0.00698954118420882,0.010723798639761,0.0174783270644721
2005,0.00054932838975252,0.00101680526262961,0.00170850528348546,0.00298545415695835,0.00434099292579368,0.00691074408201273,0.00994538169282107,0.0164052740185615
2006,0.000549764689759348,0.000991696983715728,0.00169476869637612,0.00287316857540285,0.0043224671122072,0.00643118853969238,0.00967244774099546,0.0151728515804579
2007,0.000553000839322092,0.000983290792696735,0.00167353121176662,0.00271529692062376,0.00427951091478053,0.0063338153405541,0.00930631401073794,0.0144693405398191
2008,0.000537212543576399,0.000935402497090442,0.00157787144328208,0.00263006502336303,0.00419664216364453,0.00614832030764906,0.00936755428749053,0.014789291423518
2009,0.000532685353490604,0.00093545535143646,0.0015220969137149,0.00249960699969534,0.00405831517093444,0.00615057668654905,0.00901490126346983,0.013854993413058
2010,0.000533627826875555,0.000894496910457548,0.00153471848794084,0.00247250372212975,0.0040030944055347,0.00621686355918076,0.00905686507834043,0.0134765749530657
2011,0.000567993302269832,0.000962530948353059,0.00169044404724498,0.00273986207319478,0.00430842332312899,0.00614995067149518,0.00892369154759591,0.0140560412416098
2012,0.000574387306633008,0.000940798361973797,0.00165684636941432,0.00271248940568848,0.00414709865500627,0.00611077272876853,0.00908003534620657,0.0138146158455699
2013,0.000568033670587147,0.000969879632482614,0.00165331573222955,0.00272260437846708,0.00409850871994135,0.00613675102772819,0.00906481663822266,0.0141841231644866
2014,0.000562738179054885,0.000979084362921639,0.00165741966801017,0.00262859291823387,0.00402894503682063,0.00632623555219443,0.00863914112386296,0.0140923168792027
2015,0.000568372667843688,0.000938677754085657,0.00155913233481914,0.00258915896235028,0.00404259959519376,0.00600020491603541,0.00865838969753645,0.0133046318215978
2016,0.000622249412123487,0.000996915697944601,0.00165468113872657,0.00259357333430946,0.00411340319425081,0.00621118152658769,0.00944873982267732,0.0140400109234793
2017,0.000632793321546943,0.00103539665056447,0.00157947950880789,0.00257573604461354,0.00397668050570468,0.00630242972263509,0.0095635123992576,0.0145364375227666
2018,0.000649957905036848,0.000999433760746902,0.00158302635128995,0.00257512573482947,0.00408098686224721,0.00644285712553585,0.00949811989254378,0.0136068139892522
2019,0.000630499718272705,0.00103750088596004,0.00160915111108652,0.00258460847232575,0.00425615289364036,0.006256154906234,0.00936617187555173,0.0137104182252961
2020,0.000573688251875303,0.00096486948815631,0.00160718872047533,0.00262208493548802,0.00411870419161179,0.0062101761122418,0.00913248958186521,0.0139906230526335
2021,0.000572946521509783,0.000957196376142757,0.00159118904484447,0.00259416768406659,0.00409173301510888,0.00614746552797259,0.00902363881984948,0.0137676314639815
2022,0.000572205750138861,0.000949584284452362,0.00157534864709867,0.00256654766669596,0.00406493845832132,0.00608538819746436,0.00891608545744042,0.0135481940593301
2023,0.00057146593652264,0.000942032727821802,0.00155966594161549,0.00253922171873505,0.00403831936466168,0.00602393772609759,0.00880981403084423,0.0133322541897983
2024,0.000570727079422822,0.000934541224846802,0.00154413935855748,0.00251218670923659,0.00401187458511639,0.00596310778382587,0.0087048092605811,0.0131197561094119
2025,0.000569989177602715,0.000927109297951451,0.00152876734371502,0.00248543954058841,0.00398560297819616,0.00590289210452382,0.00860105604928838,0.012910644960712
2026,0.000569252229827222,0.000919736473357753,0.00151354835835078,0.00245897714815853,0.00395950340988669,0.00584328448534165,0.00849853947954992,0.0127048667605933
2027,0.000568516234862844,0.000912422281055425,0.00149848087904562,0.00243279649994397,0.00393357475359974,0.00578427878606612,0.00839724481175126,0.0125023683863681
2028,0.000567781191477676,0.000905166254771936,0.00148356339754619,0.00240689459622342,0.00390781589012447,0.00572586892848816,0.00829715748196041,0.0123030975620525
2029,0.000567047098441407,0.000897967931942778,0.00146879442061388,0.00238126846921349,0.00388222570757917,0.00566804889577659,0.00819826309983384,0.0121070028448708
