"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.00049429448490748,0.000980262955846897,0.00183982992943072,0.0031453404173027,0.0046797847784671,0.00707375516453585,0.010797472246308,0.0175683797031107
2004,0.000511236116493435,0.000983868554628952,0.00189403716556718,0.00316259102380123,0.00466175089509008,0.00706078263681741,0.0109024951691748,0.0181554203345824
2005,0.00050744994462685,0.00102756514522177,0.00185823973842741,0.00328256408644536,0.00497685097338665,0.00744486654152969,0.010737966585329,0.0180064001198895
2006,0.000554383178257278,0.00106173943433167,0.00191718535015483,0.00341475661681162,0.00501716250803942,0.00731737759575454,0.0106634343846299,0.0176965719158565
2007,0.000578763640194201,0.00114479976202509,0.00195605762833425,0.00323683574856453,0.00517232677858664,0.00736351665537084,0.010812818653586,0.0169158814665554
2008,0.000593958923519025,0.00113105304084715,0.00195609364231546,0.00324677015052927,0.00517410352108545,0.00725831586758105,0.0110495657425893,0.0178295451911819
2009,0.000647208824286548,0.00120289069516414,0.00200753612488056,0.00337192080995788,0.0050196533935619,0.00776810997755371,0.0108384887749579,0.0172815952844807
2010,0.000652212241431667,0.00120516786733417,0.00211098641537885,0.00334423639823644,0.00524719151097886,0.00797502113421264,0.0109060949296289,0.0171295292883259
2011,0.000602860068262806,0.00107918051936931,0.00192644227021016,0.00309661213902934,0.00517907167668533,0.0075377765974828,0.0110441555116465,0.0164110172412277
2012,0.000637744393501373,0.0010810537710212,0.00187471528384936,0.00312138295856773,0.00512149592691692,0.00781984023614717,0.011224542965434,0.0168809613332017
2013,0.000652771515058865,0.00115890883667666,0.00204597019636948,0.0033078926557112,0.00517019246662464,0.00802728588472953,0.0116691564518433,0.0175001285250208
2014,0.000691797710703707,0.00124009278398713,0.00215104853306482,0.00338900347954588,0.00516101997600492,0.00823913547554064,0.0114005820993002,0.0175244160440357
2015,0.000713628319360675,0.00123556137180624,0.00207778882914597,0.00339500273247403,0.00527848155597123,0.00819640676982356,0.0115661430396524,0.0171015216648923
2016,0.000724330070989995,0.00132966196983795,0.00227964830310756,0.00362865384515269,0.00566607567728353,0.00851249748923691,0.0130596188789838,0.0184099793143929
2017,0.000787421085348793,0.00140995791024745,0.00225041666206592,0.00371700632628424,0.00566997997307201,0.00890108565656779,0.0136108467305548,0.0197663941623363
2018,0.000863876870734504,0.00142512843633134,0.00238100993107798,0.0039416765389149,0.00605134974840344,0.00940590958771738,0.0137866378078697,0.0195678671461967
2019,0.000855430910701391,0.00147729156608688,0.00237805392109652,0.00406451038228602,0.00647949803265921,0.00956152937601405,0.0142511219056885,0.0208848475943293
