"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.00049429448490748,0.000980262955846897,0.00183982992943072,0.0031453404173027,0.0046797847784671,0.00707375516453585,0.010797472246308,0.0175683797031107
2004,0.000511236116493435,0.000983868554628952,0.00189403716556718,0.00316259102380123,0.00466175089509008,0.00706078263681741,0.0109024951691748,0.0181554203345824
2005,0.00050744994462685,0.00102756514522177,0.00185823973842741,0.00328256408644536,0.00497685097338665,0.00744486654152969,0.010737966585329,0.0180064001198895
2006,0.000554383178257278,0.00106173943433167,0.00191718535015483,0.00341475661681162,0.00501716250803942,0.00731737759575454,0.0106634343846299,0.0176965719158565
2007,0.000578763640194201,0.00114479976202509,0.00195605762833425,0.00323683574856453,0.00517232677858664,0.00736351665537084,0.010812818653586,0.0169158814665554
2008,0.000593958923519025,0.00113105304084715,0.00195609364231546,0.00324677015052927,0.00517410352108545,0.00725831586758105,0.0110495657425893,0.0178295451911819
2009,0.000647208824286548,0.00120289069516414,0.00200753612488056,0.00337192080995788,0.0050196533935619,0.00776810997755371,0.0108384887749579,0.0172815952844807
2010,0.000652212241431667,0.00120516786733417,0.00211098641537885,0.00334423639823644,0.00524719151097886,0.00797502113421264,0.0109060949296289,0.0171295292883259
2011,0.000602860068262806,0.00107918051936931,0.00192644227021016,0.00309661213902934,0.00517907167668533,0.0075377765974828,0.0110441555116465,0.0164110172412277
2012,0.000637744393501373,0.0010810537710212,0.00187471528384936,0.00312138295856773,0.00512149592691692,0.00781984023614717,0.011224542965434,0.0168809613332017
2013,0.000652771515058865,0.00115890883667666,0.00204597019636948,0.0033078926557112,0.00517019246662464,0.00802728588472953,0.0116691564518433,0.0175001285250208
2014,0.000691797710703707,0.00124009278398713,0.00215104853306482,0.00338900347954588,0.00516101997600492,0.00823913547554064,0.0114005820993002,0.0175244160440357
2015,0.000713628319360675,0.00123556137180624,0.00207778882914597,0.00339500273247403,0.00527848155597123,0.00819640676982356,0.0115661430396524,0.0171015216648923
2016,0.000724330070989995,0.00132966196983795,0.00227964830310756,0.00362865384515269,0.00566607567728353,0.00851249748923691,0.0130596188789838,0.0184099793143929
2017,0.000787421085348793,0.00140995791024745,0.00225041666206592,0.00371700632628424,0.00566997997307201,0.00890108565656779,0.0136108467305548,0.0197663941623363
2018,0.000863876870734504,0.00142512843633134,0.00238100993107798,0.0039416765389149,0.00605134974840344,0.00940590958771738,0.0137866378078697,0.0195678671461967
2019,0.000855430910701391,0.00147729156608688,0.00237805392109652,0.00406451038228602,0.00647949803265921,0.00956152937601405,0.0142511219056885,0.0208848475943293
2020,0.000927486323011764,0.00154850900571322,0.00245713184073482,0.00398762307542951,0.0062723898885051,0.0097138228707311,0.0142229221118451,0.0197876651517436
2021,0.000960279119151087,0.00158910184650607,0.00250003368117754,0.00404890581550252,0.00637765103880716,0.00990135938420848,0.0144983726746548,0.0199777070871048
2022,0.000994231358240622,0.00163075879394444,0.0025436845933155,0.00411113036330404,0.00648467864654566,0.0100925165055923,0.0147791577961407,0.0201695741967308
2023,0.0010293840342825,0.00167350774267504,0.0025880976560376,0.00417431119275932,0.00659350235581882,0.0102873641348788,0.0150653807889117,0.0203632840097059
2024,0.00106577959068886,0.00171737731857894,0.00263328617659183,0.00423846300023228,0.00670415230820215,0.0104859735215643,0.0153571469663974,0.0205588542234646
2025,0.00110346197152809,0.00176239689794019,0.00267926369457246,0.00430360070794412,0.00681665915109704,0.0106884172906983,0.0156545636815971,0.020756302705409
2026,0.00114247667458302,0.00180859662711706,0.00272604398597682,0.00436973946744424,0.0069310540462193,0.0108947694694402,0.0159577403665798,0.0209556474945405
2027,0.00118287080628502,0.00185600744272883,0.00277364106733296,0.00443689466313467,0.00704736867823026,0.0111051055141292,0.0162667885727487,0.0211569068031082
2028,0.00122469313859036,0.00190466109237185,0.0028220691998993,0.0045050819158486,0.00716563526351263,0.0113195023378754,0.0165818220118856,0.0213600990182728
2029,0.00126799416786765,0.00195459015587857,0.00287134289393771,0.00457431708648388,0.00728588655909369,0.0115380383386852,0.0169029565979902,0.0215652427037865
