"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,8.16413183257144e-05,0.000167871161710895,0.000289341248851746,0.000532401076065133,0.000862880666930745,0.00156472659680136,0.00302948567306584,0.00562080157031028
2004,7.59234212200513e-05,0.000159226885098116,0.00030275734861936,0.000466960291303736,0.000774480201067317,0.00134292413253371,0.00286955615977103,0.00536778355936267
2005,7.78036160329858e-05,0.000152828374188515,0.000278215814187638,0.000479034350312222,0.000823939328503766,0.00128799068718941,0.00257963966735105,0.00503542340449619
2006,7.00695930895851e-05,0.000141131609951681,0.00026782023837625,0.00047182353366205,0.000767728893982614,0.00128080270197372,0.00236538803811096,0.00476631715828541
2007,7.20585924362759e-05,0.000128024095155005,0.000259603385481798,0.000442096393814726,0.000690792958401694,0.00126189861996796,0.00233700096378958,0.00430406323173768
2008,7.56592088076054e-05,0.000137507149673747,0.000246511336877925,0.000402471292967588,0.000714781184421907,0.00114094408011581,0.00210299850852849,0.00433477117862097
2009,7.35644077514271e-05,0.000144225045992697,0.000228744418105633,0.000443417590769689,0.000692749691090059,0.00103952396907226,0.00205145356956609,0.00399627868993092
2010,7.49154386806389e-05,0.000143196186580817,0.00024613731989723,0.000388141478183873,0.00069620767310515,0.00107808096985349,0.0019808629728364,0.00381099279440603
2011,9.25212376034387e-05,0.000144359527925912,0.000240577931350605,0.00039884190677961,0.000677385442009067,0.00120120938200478,0.00181693224789078,0.00400696797546481
2012,9.56086188437557e-05,0.000132765053035184,0.000213953641851121,0.000392869255131355,0.000652787077726582,0.00115324059145848,0.00195598059005603,0.00398097407455463
2013,8.26228876181359e-05,0.000149140034274746,0.000219305164849397,0.000389069379297868,0.000624463625545018,0.00110695894076553,0.0020629439164007,0.00368703238586324
2014,8.73662158791324e-05,0.000137512523679665,0.000225495536957291,0.000382858356042882,0.000661683475097427,0.00114157108697487,0.00203551652054887,0.00348077966277045
2015,8.66476868314776e-05,0.000137600057009521,0.00022385599334976,0.000373332462383055,0.000596792447958103,0.00107844022312221,0.00196772130401848,0.00377909751580023
2016,8.71593376571063e-05,0.000146591161516792,0.000232939813521935,0.000380147329940959,0.000615566276077892,0.00108282502714551,0.00190795122873757,0.00378803911712388
2017,8.27833185938794e-05,0.000139512213988463,0.000232557973861877,0.000390150539765748,0.000619472997592319,0.00114674992853858,0.00194736526114639,0.00335727883755743
2018,8.76676930981875e-05,0.000137582297523709,0.000232800078703312,0.000351220909768922,0.000604071673475018,0.00110900541016834,0.00190641861080962,0.00340402683416518
2019,8.43527078296958e-05,0.000131723521253669,0.000231462936641358,0.000335314814488753,0.000623233458617637,0.00107884208447049,0.00179481098313863,0.0033220988238985
2020,8.83697993016747e-05,0.000131307202205099,0.000207988148036187,0.000335354137602456,0.000570144317790305,0.00099926961257211,0.00164579277601579,0.00309218022200335
2021,8.99551129761846e-05,0.000128985213659416,0.000200927381166258,0.000321161546771506,0.000548227127074318,0.000964918560446328,0.00155633340908525,0.00291504855280362
2022,9.14463157262841e-05,0.000126874673692988,0.000194611916474874,0.00030857301552244,0.000528711214488545,0.000934206560603698,0.00147794526653599,0.00276030090739581
2023,9.29031037233322e-05,0.000124878378716868,0.000188728081865386,0.00029693708390601,0.000510605839158812,0.000905605074561552,0.00140631532692084,0.00261929189810483
2024,9.43476430187617e-05,0.000122959844800924,0.000183155762094891,0.000286001156378384,0.000493529120337873,0.000878528418756227,0.00133973834521491,0.00248858651374763
2025,9.57909079133553e-05,0.000121100888530212,0.000177833529313545,0.000275634020422135,0.000477284140903059,0.000852676838580393,0.00127730754212002,0.00236634771028021
2026,9.72392384807053e-05,0.000119290975459447,0.000172724635785206,0.000265755721969132,0.000461751933947631,0.00082787084603611,0.0012184557937467,0.00225141956921083
2027,9.8696686239499e-05,0.000117523382142355,0.000167804715419066,0.000256312153184599,0.00044685274018519,0.000803991303137172,0.00116278882249752,0.00214299367678822
2028,0.000100166037769363,0.000115793510395784,0.000163056363498237,0.000247263829879929,0.000432528914943632,0.00078095301243231,0.00111001127965633,0.00204046115022549
2029,0.00010164932312756,0.000114098045091939,0.000158466419715036,0.000238580254182368,0.000418736350794366,0.000758691477674564,0.00105988947462336,0.00194333794570326
