"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000113699822668093,0.000212617919543871,0.000408750061371233,0.000681207955624292,0.00124164941761836,0.00218731140291533,0.00407138211570447,0.00717213994649083
2004,9.51629853056916e-05,0.000222143944139433,0.000362994751875693,0.000661942394192205,0.00114502051534996,0.00192684449944864,0.00415894968495058,0.00712065958335258
2005,9.81329666201968e-05,0.000173935039289255,0.000346112190213116,0.000666685331436175,0.00114893114847443,0.00208982273971217,0.00384936216813397,0.00717150069692394
2006,9.75841702718062e-05,0.000188228656212422,0.000398920891103447,0.000649210210160092,0.00115786842728245,0.00215127798413507,0.00364492391101474,0.00694841347697695
2007,8.81489593969983e-05,0.000196470182433716,0.000365017263561913,0.00062631103073496,0.00111208777142115,0.00202037562023673,0.00342299934134316,0.00660106430388692
2008,0.000122407029409144,0.000173507967948685,0.000350861015352328,0.000610061007652708,0.00112105246065363,0.00186582419012617,0.00353881168182786,0.0066982384844613
2009,0.000151590854227362,0.000186385447707372,0.000342463461566544,0.000632230563764564,0.00108416643974743,0.00175491630334831,0.00347116392319772,0.00637850091278968
2010,0.00012604919979909,0.000199315267110072,0.000366155269033467,0.000649633050610674,0.00114114256828918,0.00189483560462103,0.00323434732188104,0.00605020077213068
2011,9.65233475483958e-05,0.000180793535918696,0.000346051047477783,0.000663329354971721,0.00113285058126894,0.00213333246172689,0.00287903050022238,0.00616700927050914
2012,9.42077003730142e-05,0.00018374063577168,0.000358323198380155,0.000606811915732509,0.00111881562156796,0.00197972587259719,0.00315724947142496,0.00582018510708912
2013,9.131354032936e-05,0.000189103081603825,0.000317006625297937,0.000647891370348061,0.00111559165293103,0.0019332688724156,0.00346288198862499,0.00595378547773059
2014,0.0001127906343729,0.000185844232976527,0.000347026839957413,0.000651128796241921,0.0011505289079933,0.00192917494243914,0.00325303082686718,0.00503156332730053
2015,8.940378165911e-05,0.000196090850164273,0.000368651445042758,0.000618828645379862,0.00110131124217364,0.00197557233716836,0.00329267993244577,0.0056874865481721
2016,9.72289646506281e-05,0.000207857621840427,0.000396723206541986,0.000628634967511522,0.00107187107824373,0.0019701048614597,0.0033728931131677,0.00599766732381268
2017,9.09044508554538e-05,0.000204854526069652,0.000389196032002625,0.000687925263331578,0.00123746287445431,0.00195123540084996,0.0034626338961594,0.00558870770812363
2018,0.00010931613106588,0.000231369009546312,0.000392491914972116,0.000661067209476531,0.00110923359276651,0.00209424122891089,0.00340373209092996,0.00568374365235375
2019,0.000115432283583213,0.000219473652213405,0.000367402687428641,0.00068202132517967,0.00111924631511229,0.00204951737339471,0.00344839849109032,0.0056304846931627
2020,8.09248998762237e-05,0.000199572152519925,0.000372780318513913,0.000650954099111724,0.00114794048855472,0.00209623393360443,0.00346733544366257,0.00620451685091485
2021,6.94727531884593e-05,0.000201465076059044,0.000377340670756626,0.000652702268946539,0.00115584808382781,0.00216221463474119,0.00346898004082069,0.00621540700505769
2022,6.12754556683033e-05,0.000203036114616842,0.000381134939040441,0.000654144260715321,0.00116239563759007,0.00221806111559016,0.00347033387305701,0.00622438223882262
2023,5.47439975200008e-05,0.000204456876909495,0.000384573560760752,0.000655441457823812,0.00116830499849663,0.00226942236814607,0.00347154966554673,0.00623245039330813
2024,4.92810676463707e-05,0.000205791001652315,0.000387808768930444,0.000656653690473832,0.00117384381802083,0.00231839915746866,0.00347268403637348,0.00623998510150449
2025,4.45856897846225e-05,0.000207069758127523,0.000390915386432994,0.000657810344218257,0.00117914358050232,0.00236602864185478,0.00347376479214483,0.00624716986834434
2026,4.04803606397078e-05,0.0002083109488638,0.000393936030922656,0.000658928138970372,0.00118427912064563,0.0024129055857607,0.0034748077534323,0.00625410910177752
2027,3.6849225480134e-05,0.000209525695782748,0.000396897343688135,0.000660017511578689,0.00118929717042179,0.00245940537520573,0.00347582279494696,0.00626086797217413
2028,3.36110651288747e-05,0.000210721411090681,0.000399817094496891,0.000661085409970672,0.00119422885645228,0.00250578165215504,0.00347681648976004,0.00626748986177339
2029,3.07058402641998e-05,0.000211903277131041,0.000402707720664351,0.000662136684931331,0.00119909592512317,0.00255221494949283,0.00347779342639096,0.0062740050563166
