"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000469845824587587,0.00102255615496551,0.00174974621110391,0.00266377298085504,0.00426979228942333,0.00645718680750702,0.00894532414603356,0.014177126877256
2004,0.000451115209347391,0.000898273934799628,0.00188604679082154,0.00272363966748847,0.00415450776891379,0.00672498571639891,0.00886618538481161,0.0142897493998644
2005,0.000489643556594899,0.00105900336750556,0.0016660028372281,0.00266840496856521,0.00403624486368097,0.00653189503760814,0.00919406135496423,0.0155182341246861
2006,0.000490685133113201,0.00101101566961839,0.00166154859443182,0.00253109226206081,0.00391525679794221,0.0063864912950458,0.0091303275914807,0.0148179294814593
2007,0.000549606064100194,0.000994482791688062,0.00165086518484226,0.00255043059375564,0.0038313619290955,0.00593184148223078,0.00900566308333013,0.0140479571315657
2008,0.000424358227299919,0.000993359812301355,0.00192214669288361,0.0029332516094458,0.00421558125311837,0.00647094372274071,0.0089657882491271,0.0152255105860866
2009,0.000450028274317515,0.000974513303120081,0.00188475622838178,0.00258207700960966,0.00384343959796324,0.00640324649911035,0.00862982183635804,0.0144189342719969
2010,0.000481944055580864,0.0010325186357079,0.00197300077377599,0.00315753804302768,0.00392372378238467,0.0067981152165673,0.00902299999495313,0.0150397097289545
2011,0.000444185084668042,0.00083624161328062,0.00156806896014371,0.00235028604810074,0.00388431721921823,0.00558156246499447,0.00834680912355678,0.012783257333316
2012,0.000512787695924541,0.000892871063370335,0.00165520241988048,0.00257887445895822,0.00368824218992917,0.00574021198955334,0.00779504797443093,0.0111028854399446
2013,0.00043515066403029,0.000949517754356544,0.00177223463228334,0.00283541133827268,0.00374791043517148,0.00610325453472808,0.00763887585226163,0.012622251728047
2014,0.000522458357513865,0.00105025636942557,0.00184447789690567,0.00258042496011475,0.00416100719536476,0.00575071424075554,0.00741825965334613,0.0144904540644954
2015,0.000473587585153894,0.000883803943064228,0.00161587666000932,0.00275499300958725,0.00384892438892502,0.00562337075657992,0.00776603207376615,0.0117560684733316
2016,0.000606204715391629,0.000869426828223077,0.00163547604414412,0.00299572920435259,0.0044627423856987,0.00603694174343187,0.00863959366591221,0.0137294097681613
2017,0.000579099087358804,0.0010358303464497,0.00171571713047702,0.00301508799002223,0.00466308088786385,0.00595286536498986,0.00822132914353851,0.0139716342052006
2018,0.000585547814814776,0.0010474031440459,0.00153191986192261,0.00292641490088622,0.0044448489504559,0.00585458329707328,0.00820159969594646,0.0132394859944254
2019,0.000625826842323119,0.000998079413746227,0.00167683785920795,0.00275879856572953,0.00434497408236381,0.00603369948142732,0.00886301458650691,0.0142481521752576
2020,0.000493011132980234,0.000970659355860145,0.00173905523729435,0.00272787121984675,0.00405302259936164,0.00616492816993274,0.00851318888946515,0.0138593596103698
2021,0.00045732518017934,0.000969505310956336,0.0017976067610811,0.00270252802946863,0.00395991901894955,0.00631918546696809,0.0086111331778905,0.014114933721559
2022,0.000430869876919407,0.000968591054259353,0.00184544033193932,0.00268259675295603,0.00388760492428423,0.00644426113148613,0.00868960990639776,0.0143209672304159
2023,0.00040895502476578,0.000967790852809496,0.00188838841103446,0.00266525732044122,0.00382534206842042,0.00655586290853801,0.0087589447934518,0.0145039271180912
2024,0.000389851720839511,0.000967058101566049,0.00192862463684865,0.00264946531246094,0.00376915833615589,0.00665983495662391,0.00882297134310234,0.0146736496454816
2025,0.000372711302391853,0.000966369914090354,0.0019672228027307,0.00263470813764013,0.00371710522747144,0.00675905821765152,0.00888357477678821,0.0148349774051391
2026,0.00035704892846686,0.000965713270304485,0.00200479812974843,0.0026206942867149,0.00366807448123616,0.00685517872700827,0.00894182910034672,0.0149906727615515
2027,0.000342559341507737,0.000965080044081103,0.00204173793774656,0.0026072418503291,0.00362137397054186,0.00694922901288583,0.00899840560307488,0.0151424649612582
2028,0.000329036647112848,0.000964464826622755,0.00207830280942268,0.00259422974351883,0.00357654231871814,0.00704190050367846,0.00905375180599034,0.0152915090056855
2029,0.000316334544920723,0.000963863842358661,0.00211467706392538,0.00258157342331171,0.00353325668345183,0.00713367938557189,0.00910818064982881,0.0154386144326183
