"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000320620908896208,0.000561527628424375,0.000866337343078841,0.00130397263836729,0.0021191951666565,0.0035016471072033,0.00607170728986155,0.0105854746660875
2004,0.000333601215709523,0.000541672542482667,0.000848989238026714,0.00130860481223322,0.00202473724591667,0.00336708869240268,0.00571273518730877,0.00991327212304439
2005,0.000319279737064602,0.000530802164835348,0.000865098528660428,0.0012824258681891,0.00198319176556549,0.00335681294819212,0.00544138371212351,0.00936948512267618
2006,0.000325982048057068,0.00054120715786784,0.000861656256585791,0.0013049629763932,0.00197040584542175,0.00328205781141547,0.00515696035598641,0.00882236066476224
2007,0.000327374784666548,0.000509399862031671,0.000856439342885863,0.00129246571515146,0.00192417452704682,0.0030950035196045,0.00492900500687935,0.00858240983845314
2008,0.000320616827488728,0.000511321520372979,0.000807126916623742,0.0012785602491315,0.00186203194509029,0.00316959538450871,0.00488877283187001,0.00812193899540156
2009,0.00030674796783211,0.000511621432744838,0.000804041358638576,0.00125467045915349,0.00187607982346287,0.00308260233865445,0.00474501395683422,0.0079283446837434
2010,0.000312813691427609,0.000511763777649911,0.000847287928633705,0.00127069503820281,0.00189203293351169,0.00306897498082791,0.00493957773021529,0.0078742749676963
2011,0.000353100719911572,0.000575965935097243,0.000937482746136655,0.0014262402344013,0.00215384577497611,0.0032637304664879,0.00552601645444721,0.00873451974098176
2012,0.000355395235086925,0.000560317932798301,0.000947771864625019,0.00139531329441625,0.00219757845492793,0.00327619767134697,0.00529362530332008,0.00888391650619878
2013,0.000367598858913692,0.000576888100880357,0.000942245479379801,0.00147389370918868,0.00223487302048166,0.00332620169481116,0.00532895846410075,0.00868128076624894
2014,0.00038845473843438,0.0006196645618439,0.000935934797292243,0.00149074370390717,0.00226093396824158,0.00342988971444253,0.00532577014461128,0.00864109590163202
2015,0.000369706857469656,0.000626565332184643,0.000954470702357311,0.00151394831379479,0.00225552575913957,0.00349951960685008,0.00527876761019041,0.00887103987643546
2016,0.000450364648159611,0.000616164261335504,0.000980109337775557,0.00149351457014003,0.00233172738290765,0.00357663578479635,0.00555025421553605,0.00884410713273426
2017,0.000450549375838379,0.00065449741549345,0.000948631877050725,0.00145701865212005,0.00233285942576025,0.00364578180335873,0.0056225155528376,0.00911199650487673
2018,0.000456748134705768,0.000664058607716729,0.000985176473655354,0.00150819428877089,0.002380068203555,0.00358959143448923,0.00559537270779911,0.00902478923098557
2019,0.00047033995689185,0.000663823743500058,0.00102303075957518,0.00154214388415078,0.00232539936899656,0.00374040901781844,0.00549285013705871,0.00895063509739799
2020,0.000414556626968376,0.000625428454082115,0.000964604292345237,0.00147909379774401,0.0022909304853585,0.00354035861552666,0.00553148786779075,0.00904013651277244
2021,0.000400461308452747,0.000611344940817532,0.000948659270875946,0.00145403246039795,0.00224485037471964,0.00349371106403308,0.00548051774220609,0.00899232544776036
2022,0.00039034647437196,0.000601134039545353,0.000937037103925864,0.00143577218854677,0.0022113696136542,0.00345960922608463,0.00544312574325774,0.00895713007139397
2023,0.00038211945985316,0.00059276207496887,0.00092746850042238,0.00142074267754892,0.00218387283122181,0.00343146809312329,0.00541218563657984,0.00892792940720344
2024,0.000375012604051903,0.000585480315195332,0.000919116427549463,0.00140762718127219,0.00215992264216556,0.00340685625998952,0.00538506298425941,0.00890227287422466
2025,0.000368651883859887,0.000578922981465902,0.000911571396993593,0.00139578159110121,0.00213832764041944,0.00338458331503885,0.00536046677042688,0.00887895844433474
2026,0.000362825821318646,0.000572882839681144,0.000904601160094521,0.00138484061678054,0.00211841253707371,0.00336397367897671,0.00533766377940265,0.00885730293140233
2027,0.000357403057302248,0.000567230976433272,0.000898061123510291,0.00137457684922665,0.00209975712050059,0.00334460654695544,0.0053161970362214,0.00883688028179044
2028,0.000352296473198608,0.000561881809450281,0.000891855237510669,0.00136483923290374,0.00208208235760341,0.00332620228610545,0.00529576273116265,0.00881740710260481
2029,0.000347445411570857,0.000556775717572409,0.000885916561862163,0.00135552249543138,0.0020651938297341,0.00330856595944291,0.00527614899822822,0.00879868568706592
