"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000244590488587003,0.000516696533803249,0.000852032231141895,0.00140217664245842,0.00221032462648852,0.00361392533968812,0.00618852909022306,0.0115363010515278
2004,0.000256014483109685,0.000487464249869456,0.000874035825247847,0.00141747027292028,0.00221270747989136,0.00355864825606002,0.00603625772297956,0.0114553336431677
2005,0.000267045603358847,0.000498421030129471,0.000868864986175078,0.00149187157869519,0.00218296364269355,0.00361641897824981,0.00620693064761105,0.0111074015358037
2006,0.000276824066130202,0.00054036761718089,0.000885417316516408,0.00150242276860406,0.00229489276431753,0.00358334759108704,0.00593402458970971,0.0109912307824042
2007,0.000276400918963946,0.000529467485716628,0.000897637710252667,0.00158103002549478,0.00227531802771269,0.00352049584447477,0.00574162030005889,0.0109370112055473
2008,0.00028827355519697,0.00056404439127061,0.000926098261360607,0.00151381903425892,0.00218011925159765,0.00374434692436213,0.00579212418521328,0.0105262831389252
2009,0.000299513297550722,0.000576135873786206,0.00095291383011304,0.0015561470973375,0.00225134646650464,0.00355219395113324,0.00576244422528384,0.0102892924806803
2010,0.000339938492963933,0.000571958347368114,0.000976565221718224,0.00156854348737144,0.00231410454088431,0.00364871681534133,0.00602253826108599,0.0106055568922299
2011,0.000295373003551881,0.000540471968801617,0.000905263606757274,0.00142887891319506,0.00213985735080938,0.0032710557386388,0.00530000064761682,0.00837885823849142
2012,0.00032127182001846,0.000541159480661,0.000901941613929293,0.00139821802151755,0.0022002574223319,0.00331321486985088,0.00518455995556825,0.0085309569530614
2013,0.000339840265133104,0.000560198668779705,0.000969364025607005,0.00149873595548547,0.00225408928109285,0.00342522362821601,0.00515596629073953,0.00848044488876505
2014,0.000343621810238678,0.000603494744738352,0.000961026472290281,0.00156099583935146,0.00232167680063887,0.00346601021204936,0.00518383478505607,0.00839508949147949
2015,0.000369717313534207,0.000629041238734457,0.00104334078847568,0.00158429423101547,0.0023907403004423,0.00352178332405742,0.0052475816746051,0.00843624656163722
2016,0.000367738246451446,0.000695598813703642,0.00109669469907276,0.0017036621886414,0.00247894589377046,0.00369878709203576,0.00558703586117727,0.00894018733144859
2017,0.000404505450538869,0.000701401494306355,0.00111873771191684,0.00172573798398475,0.00257518594604988,0.0038660047318357,0.00590542481220317,0.0094856097002822
2018,0.000405841943184866,0.000715198570859118,0.00120978288003278,0.00179729130363105,0.00263397624531213,0.00387752962242986,0.00596464307317582,0.0098311252269198
2019,0.000451136949849735,0.000750867128586953,0.00123190552662182,0.00185579900274986,0.00267126527250858,0.00411993984144381,0.00614912199132947,0.00994184399217551
2020,0.000429715489020252,0.000724559738526157,0.00117576052966955,0.00176842328531857,0.00257953206478296,0.00381835006374508,0.0056508438446887,0.00891456851528406
2021,0.000428883358850372,0.000723521391918811,0.00117428547612589,0.00176693148838222,0.00257773027254965,0.00381689051920071,0.00565127165830248,0.00892026915185428
2022,0.000430873000869199,0.000726003232726045,0.00117781068980259,0.00177049569864818,0.00258203469158068,0.0038203765546628,0.0056502501756249,0.0089066631677403
2023,0.000434224574623964,0.000730177192735795,0.00118373601050415,0.00177647870044082,0.00258925688315055,0.00382621971044666,0.00564854050844231,0.00888393161009463
2024,0.000438409173057594,0.000735376836009018,0.00119111148247576,0.00178391227677192,0.00259822426396719,0.00383346456017749,0.00564642505352158,0.00885587554563454
2025,0.00044317214192525,0.000741279460094296,0.00119947623078093,0.00179232469219843,0.00260836470253361,0.0038416435083649,0.00564404259541548,0.00882437191714944
2026,0.000448371296512557,0.00074770383239611,0.00120857093217682,0.00180144943479786,0.00261935453731187,0.00385049130989255,0.00564147213886635,0.00879049319368704
2027,0.000453919564333825,0.000754538252735746,0.00121823543544414,0.00181112123414642,0.00263099279738146,0.00385984284373116,0.00563876301892013,0.00875491104082439
2028,0.000459760152867672,0.00076170932087616,0.00122836426715806,0.00182123076452242,0.00264314636442347,0.00386958846174786,0.00563594808818288,0.00871807371432675
2029,0.000465854303955897,0.000769166495557036,0.00123888461422104,0.00183170218276814,0.00265572275866217,0.00387965179316393,0.00563305028805795,0.00868029472718461
