"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,8.16413183257144e-05,0.000167871161710895,0.000289341248851746,0.000532401076065133,0.000862880666930745,0.00156472659680136,0.00302948567306584,0.00562080157031028
2004,7.59234212200513e-05,0.000159226885098116,0.00030275734861936,0.000466960291303736,0.000774480201067317,0.00134292413253371,0.00286955615977103,0.00536778355936267
2005,7.78036160329858e-05,0.000152828374188515,0.000278215814187638,0.000479034350312222,0.000823939328503766,0.00128799068718941,0.00257963966735105,0.00503542340449619
2006,7.00695930895851e-05,0.000141131609951681,0.00026782023837625,0.00047182353366205,0.000767728893982614,0.00128080270197372,0.00236538803811096,0.00476631715828541
2007,7.20585924362759e-05,0.000128024095155005,0.000259603385481798,0.000442096393814726,0.000690792958401694,0.00126189861996796,0.00233700096378958,0.00430406323173768
2008,7.56592088076054e-05,0.000137507149673747,0.000246511336877925,0.000402471292967588,0.000714781184421907,0.00114094408011581,0.00210299850852849,0.00433477117862097
2009,7.35644077514271e-05,0.000144225045992697,0.000228744418105633,0.000443417590769689,0.000692749691090059,0.00103952396907226,0.00205145356956609,0.00399627868993092
2010,7.49154386806389e-05,0.000143196186580817,0.00024613731989723,0.000388141478183873,0.00069620767310515,0.00107808096985349,0.0019808629728364,0.00381099279440603
2011,9.25212376034387e-05,0.000144359527925912,0.000240577931350605,0.00039884190677961,0.000677385442009067,0.00120120938200478,0.00181693224789078,0.00400696797546481
2012,9.56086188437557e-05,0.000132765053035184,0.000213953641851121,0.000392869255131355,0.000652787077726582,0.00115324059145848,0.00195598059005603,0.00398097407455463
2013,8.26228876181359e-05,0.000149140034274746,0.000219305164849397,0.000389069379297868,0.000624463625545018,0.00110695894076553,0.0020629439164007,0.00368703238586324
2014,8.73662158791324e-05,0.000137512523679665,0.000225495536957291,0.000382858356042882,0.000661683475097427,0.00114157108697487,0.00203551652054887,0.00348077966277045
2015,8.66476868314776e-05,0.000137600057009521,0.00022385599334976,0.000373332462383055,0.000596792447958103,0.00107844022312221,0.00196772130401848,0.00377909751580023
2016,8.71593376571063e-05,0.000146591161516792,0.000232939813521935,0.000380147329940959,0.000615566276077892,0.00108282502714551,0.00190795122873757,0.00378803911712388
2017,8.27833185938794e-05,0.000139512213988463,0.000232557973861877,0.000390150539765748,0.000619472997592319,0.00114674992853858,0.00194736526114639,0.00335727883755743
2018,8.76676930981875e-05,0.000137582297523709,0.000232800078703312,0.000351220909768922,0.000604071673475018,0.00110900541016834,0.00190641861080962,0.00340402683416518
2019,8.43527078296958e-05,0.000131723521253669,0.000231462936641358,0.000335314814488753,0.000623233458617637,0.00107884208447049,0.00179481098313863,0.0033220988238985
2020,8.54356775493868e-05,0.000135832511798027,0.000222087257974835,0.000364056235858396,0.000614207510955143,0.00106790695177841,0.00183008130810858,0.00345873365518588
2021,8.56417878000371e-05,0.000135504483549224,0.000221050227549678,0.000361929060992136,0.000610953351093712,0.00106285652555399,0.00181627271197855,0.00343119436800022
2022,8.59634440199047e-05,0.000134995710078638,0.000219446430373643,0.000358644277608554,0.000605924759775113,0.00105504649656598,0.00179499609831559,0.00338878393938527
2023,8.63412313031395e-05,0.000134403001471708,0.000217585166328876,0.000354839750136433,0.000600095118266864,0.0010459835972597,0.00177042409355516,0.00333983955556973
2024,8.67532687326594e-05,0.000133762453474953,0.000215582291742635,0.000350754917425925,0.000593829456868783,0.0010362322773331,0.00174412736037038,0.00328750146924306
2025,8.71888710652577e-05,0.000133091866565845,0.000213495085831994,0.000346508259563614,0.000587308336066907,0.0010260716142762,0.00171688366056619,0.00323332480493867
2026,8.76419912633002e-05,0.000132401397425622,0.000211356255048485,0.000342167408375098,0.000580634845062092,0.00101566096071566,0.00168913642830022,0.00317819582415106
2027,8.81088748783765e-05,0.000131697396838231,0.000209186228690799,0.000337774546039293,0.000573873329939564,0.00100509984641918,0.00166116135234143,0.00312266499591843
2028,8.85870364921893e-05,0.000130984095355534,0.000206998576397454,0.000333357614530892,0.000567066472689019,0.000994454373577172,0.0016331400764172,0.00306709444540851
2029,8.90747513573929e-05,0.000130264445435355,0.000204802722407585,0.000328935940247437,0.000560243855016046,0.000983770442325336,0.00160519726228353,0.0030117321446178
