"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000320620908896208,0.000561527628424375,0.000866337343078841,0.00130397263836729,0.0021191951666565,0.0035016471072033,0.00607170728986155,0.0105854746660875
2004,0.000333601215709523,0.000541672542482667,0.000848989238026714,0.00130860481223322,0.00202473724591667,0.00336708869240268,0.00571273518730877,0.00991327212304439
2005,0.000319279737064602,0.000530802164835348,0.000865098528660428,0.0012824258681891,0.00198319176556549,0.00335681294819212,0.00544138371212351,0.00936948512267618
2006,0.000325982048057068,0.00054120715786784,0.000861656256585791,0.0013049629763932,0.00197040584542175,0.00328205781141547,0.00515696035598641,0.00882236066476224
2007,0.000327374784666548,0.000509399862031671,0.000856439342885863,0.00129246571515146,0.00192417452704682,0.0030950035196045,0.00492900500687935,0.00858240983845314
2008,0.000320616827488728,0.000511321520372979,0.000807126916623742,0.0012785602491315,0.00186203194509029,0.00316959538450871,0.00488877283187001,0.00812193899540156
2009,0.00030674796783211,0.000511621432744838,0.000804041358638576,0.00125467045915349,0.00187607982346287,0.00308260233865445,0.00474501395683422,0.0079283446837434
2010,0.000312813691427609,0.000511763777649911,0.000847287928633705,0.00127069503820281,0.00189203293351169,0.00306897498082791,0.00493957773021529,0.0078742749676963
2011,0.000353100719911572,0.000575965935097243,0.000937482746136655,0.0014262402344013,0.00215384577497611,0.0032637304664879,0.00552601645444721,0.00873451974098176
2012,0.000355395235086925,0.000560317932798301,0.000947771864625019,0.00139531329441625,0.00219757845492793,0.00327619767134697,0.00529362530332008,0.00888391650619878
2013,0.000367598858913692,0.000576888100880357,0.000942245479379801,0.00147389370918868,0.00223487302048166,0.00332620169481116,0.00532895846410075,0.00868128076624894
2014,0.00038845473843438,0.0006196645618439,0.000935934797292243,0.00149074370390717,0.00226093396824158,0.00342988971444253,0.00532577014461128,0.00864109590163202
2015,0.000369706857469656,0.000626565332184643,0.000954470702357311,0.00151394831379479,0.00225552575913957,0.00349951960685008,0.00527876761019041,0.00887103987643546
2016,0.000450364648159611,0.000616164261335504,0.000980109337775557,0.00149351457014003,0.00233172738290765,0.00357663578479635,0.00555025421553605,0.00884410713273426
2017,0.000450549375838379,0.00065449741549345,0.000948631877050725,0.00145701865212005,0.00233285942576025,0.00364578180335873,0.0056225155528376,0.00911199650487673
2018,0.000456748134705768,0.000664058607716729,0.000985176473655354,0.00150819428877089,0.002380068203555,0.00358959143448923,0.00559537270779911,0.00902478923098557
2019,0.00047033995689185,0.000663823743500058,0.00102303075957518,0.00154214388415078,0.00232539936899656,0.00374040901781844,0.00549285013705871,0.00895063509739799
2020,0.000520286904979484,0.00072633096993537,0.00107618706539964,0.00165475598212689,0.00261796045504663,0.00386256092084659,0.005878195797268,0.00936049390031744
2021,0.000557353257685855,0.000759998150481068,0.00111247189361592,0.00171197991250813,0.00272595536189868,0.00396583770246738,0.00598745501272143,0.00945976489695692
2022,0.000591704937542913,0.000790522429974466,0.00114499834576632,0.00176331670058174,0.00282342299463677,0.00405783328816139,0.00608405768949692,0.0095468936495136
2023,0.000625490398959856,0.00081995830307178,0.00117604739210321,0.00181235604984454,0.00291703127465032,0.00414515339676077,0.00617514053060042,0.00962850419559475
2024,0.000659535667553295,0.00084907594953716,0.00120646800184563,0.00186043454339969,0.00300927155114917,0.00423025050605278,0.00626334857018692,0.00970705019863864
2025,0.000694275823962491,0.000878263243232375,0.0012366818625151,0.00190821657469922,0.00310139064514761,0.0043143364689046,0.00634998354949957,0.00978373679072509
2026,0.00072998621933335,0.000907750179870108,0.00126693369048819,0.00195608817666867,0.00319412074998817,0.00439810868077791,0.00643578954027109,0.00985925028357228
2027,0.000766865030153764,0.000937689120836353,0.0012973808211589,0.00200429796908541,0.00328794051072884,0.00448201014409093,0.00652123450576613,0.00993401987818207
2028,0.0008050692709675,0.000968189803193941,0.00132813232659957,0.00205301869662063,0.00338318896345818,0.00456634307725807,0.00660663337783617,0.0100083321367407
2029,0.000844732714253821,0.000999336730764485,0.00135926845575982,0.00210237780988208,0.00348012214102116,0.00465132539746645,0.00669220928004658,0.0100823879573969
