"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000244590488587003,0.000516696533803249,0.000852032231141895,0.00140217664245842,0.00221032462648852,0.00361392533968812,0.00618852909022306,0.0115363010515278
2004,0.000256014483109685,0.000487464249869456,0.000874035825247847,0.00141747027292028,0.00221270747989136,0.00355864825606002,0.00603625772297956,0.0114553336431677
2005,0.000267045603358847,0.000498421030129471,0.000868864986175078,0.00149187157869519,0.00218296364269355,0.00361641897824981,0.00620693064761105,0.0111074015358037
2006,0.000276824066130202,0.00054036761718089,0.000885417316516408,0.00150242276860406,0.00229489276431753,0.00358334759108704,0.00593402458970971,0.0109912307824042
2007,0.000276400918963946,0.000529467485716628,0.000897637710252667,0.00158103002549478,0.00227531802771269,0.00352049584447477,0.00574162030005889,0.0109370112055473
2008,0.00028827355519697,0.00056404439127061,0.000926098261360607,0.00151381903425892,0.00218011925159765,0.00374434692436213,0.00579212418521328,0.0105262831389252
2009,0.000299513297550722,0.000576135873786206,0.00095291383011304,0.0015561470973375,0.00225134646650464,0.00355219395113324,0.00576244422528384,0.0102892924806803
2010,0.000339938492963933,0.000571958347368114,0.000976565221718224,0.00156854348737144,0.00231410454088431,0.00364871681534133,0.00602253826108599,0.0106055568922299
2011,0.000295373003551881,0.000540471968801617,0.000905263606757274,0.00142887891319506,0.00213985735080938,0.0032710557386388,0.00530000064761682,0.00837885823849142
2012,0.00032127182001846,0.000541159480661,0.000901941613929293,0.00139821802151755,0.0022002574223319,0.00331321486985088,0.00518455995556825,0.0085309569530614
2013,0.000339840265133104,0.000560198668779705,0.000969364025607005,0.00149873595548547,0.00225408928109285,0.00342522362821601,0.00515596629073953,0.00848044488876505
2014,0.000343621810238678,0.000603494744738352,0.000961026472290281,0.00156099583935146,0.00232167680063887,0.00346601021204936,0.00518383478505607,0.00839508949147949
2015,0.000369717313534207,0.000629041238734457,0.00104334078847568,0.00158429423101547,0.0023907403004423,0.00352178332405742,0.0052475816746051,0.00843624656163722
2016,0.000367738246451446,0.000695598813703642,0.00109669469907276,0.0017036621886414,0.00247894589377046,0.00369878709203576,0.00558703586117727,0.00894018733144859
2017,0.000404505450538869,0.000701401494306355,0.00111873771191684,0.00172573798398475,0.00257518594604988,0.0038660047318357,0.00590542481220317,0.0094856097002822
2018,0.000405841943184866,0.000715198570859118,0.00120978288003278,0.00179729130363105,0.00263397624531213,0.00387752962242986,0.00596464307317582,0.0098311252269198
2019,0.000451136949849735,0.000750867128586953,0.00123190552662182,0.00185579900274986,0.00267126527250858,0.00411993984144381,0.00614912199132947,0.00994184399217551
2020,0.000507091525943963,0.000818981231259193,0.00130884223805888,0.00190060947408209,0.00273817727721153,0.00394510261646476,0.00561442044363798,0.00844084276562866
2021,0.00054572876061369,0.00086470582669711,0.00137258959326354,0.00196235510643955,0.00281162587311044,0.00400265688383032,0.00559834166923868,0.00823888171202579
2022,0.000583465837739452,0.000908558344770014,0.00143333304091335,0.00202032217069654,0.00288021852980142,0.00405579425199944,0.00558374084307675,0.00805918798939436
2023,0.000621869121260435,0.000952433641662136,0.00149374325434315,0.00207717791563853,0.00294716793757834,0.00410710874836164,0.00556985679428857,0.00789152972505514
2024,0.000661580102555496,0.000997067727284701,0.00155484326893036,0.0021339213208386,0.00301367141774438,0.00415756142775794,0.00555640706715665,0.00773205593763138
2025,0.000702972428337257,0.00104285578122613,0.00161716969992775,0.00219105563168455,0.00308032633610237,0.00420762557557639,0.005543252818304,0.00757884066400763
2026,0.000746314051183162,0.00109005453848668,0.00168106036926462,0.00224887963572808,0.00314748209484291,0.00425757218893984,0.00553031498429006,0.00743076329291115
2027,0.00079182497517034,0.00113885435416681,0.00174675678648753,0.00230759166348163,0.00321536592214227,0.00430757220367783,0.00551754417149657,0.00728710487870418
2028,0.00083970249876772,0.00118941056855498,0.00181444874798594,0.00236733490445152,0.00328413772064268,0.00435774114620976,0.00550490746887063,0.0071473707320785
2029,0.000890133894639982,0.0012418590862948,0.00188429646331954,0.00242821988898552,0.00335391729218791,0.00440816132978726,0.00549238187668731,0.0070112017376571
