"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000166685074675708,0.000388895844193718,0.000778213151351353,0.00154362914190963,0.00268104107653188,0.00403305920991257,0.00773551724445402,0.0136564051832466
2004,0.000159590046199329,0.000352819099671363,0.000792434425171207,0.00151941805816996,0.00258718826462638,0.00403359639446452,0.00694957059699274,0.0119105448654733
2005,0.000174431389019033,0.000397361749617829,0.00085917310821763,0.00150317056309423,0.00266835730444963,0.00419380136164085,0.00732715345613193,0.0121465360188821
2006,0.000171779227895349,0.000356415840338604,0.000723132307971231,0.00158179499127902,0.00258187174396763,0.00424006748021665,0.00677221334469512,0.0121147614069012
2007,0.000175351216395398,0.000339925287518365,0.00075134362696468,0.00146775938857576,0.00265904974068117,0.00420045426820211,0.00665175716204278,0.0131986814063401
2008,0.000147835277189119,0.000322426269598236,0.000810245992145501,0.00146713639344776,0.00248275732652313,0.00400114476187691,0.00606505624593694,0.0115317423226349
2009,0.000195527788543426,0.000343512403341329,0.000783937812142998,0.00148891820133833,0.00257308873637024,0.00393744129099804,0.00622670805007731,0.0106260739617993
2010,0.000191717258569461,0.000420344442274548,0.000832312797159016,0.00148994443318391,0.00264693289419343,0.00413672348530061,0.00663639003297596,0.0110581187425239
2011,0.000176237948357244,0.000355108171652891,0.000709695968513236,0.00122913060517829,0.00212575174895563,0.00379154235739347,0.00604155022504235,0.0101064452376775
2012,0.000187175000680481,0.000376037044259691,0.000678715273393602,0.00127647403820933,0.00220487548040393,0.00387692873079337,0.00594280058708203,0.0106169314723494
2013,0.000180487756119061,0.000375309263655013,0.00066915763650359,0.00128002372183024,0.00218703926140962,0.00384525260239966,0.00598761150400666,0.00984922410421267
2014,0.000180776086378913,0.000384004841438385,0.000745515802448648,0.00122249367106448,0.00231986852779957,0.00387612182591375,0.00635625131663743,0.0099678210188229
2015,0.000195710632795232,0.00038338488062474,0.00069096569054833,0.00125198843071433,0.0021247857524655,0.00378665586323104,0.00622907211597669,0.0107288980789679
2016,0.000203627429285291,0.000399117180906326,0.000743607096344449,0.00133083196766582,0.00217112427943981,0.00396344896938748,0.00621754554449285,0.0110242750247022
2017,0.000196649441482768,0.000387053429804282,0.000762009034940837,0.00140169727990493,0.00226531704544424,0.003813863974276,0.00637023431071487,0.0107799289195111
2018,0.000223827377198874,0.000392268919829743,0.000811041010640453,0.00142188275303835,0.00235176538088062,0.00362067234277756,0.00673164265849193,0.0114447974208408
2019,0.000210996585579246,0.000434014846685143,0.000891018725406599,0.00145366530460203,0.00214430283038508,0.00388011843019579,0.006461170988102,0.0111786235818162
2020,0.000200621319745563,0.000386860560333978,0.00071364604317356,0.00124343575162613,0.00209048933242766,0.00375369389368919,0.00592785560582953,0.00990154568188324
2021,0.000207574861525846,0.000391189223788344,0.000695010789219681,0.00118680458888931,0.00198535883981263,0.0036800129304067,0.00572210178504308,0.00942640921166151
2022,0.000213767402510575,0.000394962686371543,0.000679324676400838,0.00114002283285355,0.00189891556222967,0.00361760773032102,0.00555033510442409,0.00903484584931002
2023,0.000219656081501136,0.000398483300721826,0.000665139278750157,0.00109841896638997,0.0018223576058745,0.00356086112536483,0.00539614114278587,0.00868736158409963
2024,0.000225411042838299,0.000401863079507667,0.00065191396037103,0.00106023469540064,0.00175236441933488,0.00350768120120631,0.00525337197677719,0.00836907393624178
2025,0.000231116754207675,0.000405157043975797,0.000639381010276358,0.00102458973895739,0.00168726856497697,0.0034570351130296,0.00511896949973049,0.00807252058013963
2026,0.000236822181718564,0.000408396530400512,0.000627386547906931,0.000990970965071853,0.00162609439476935,0.00340833141727674,0.00499116564709613,0.00779334318610298
2027,0.000242558754417666,0.000411601136470731,0.000615833296937386,0.000959048359951271,0.00156821161900322,0.00336119800520003,0.00486883459707145,0.00752873229480118
2028,0.000248348210454881,0.000414783947068184,0.000604655488708183,0.00092859420758456,0.00151318310817899,0.00331538475887792,0.00475120850612042,0.00727674422642641
2029,0.000254206497406134,0.000417954135425025,0.000593806341246789,0.000899442711504428,0.00146068882448155,0.00327071500528359,0.00463773560376862,0.00703595973804598
