"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000900794974948924,0.00181633296032998,0.00319105766283244,0.00462942422589163,0.00690379383830669,0.0101688540522685,0.0137294824034434,0.0204869840937854
2004,0.0009576163490547,0.00168564343307942,0.00308877026076714,0.00480372332824817,0.00691029064053058,0.00983563225514932,0.0132004592038211,0.0199900718677548
2005,0.000894496804838322,0.00172336558328746,0.00299119373458853,0.00481974471636382,0.00609505186601742,0.00966722076981623,0.0127291834967858,0.0197523335150253
2006,0.000838517572886784,0.00168433388799681,0.00297164083102953,0.00423016050518495,0.0065262088171721,0.00969802569980801,0.0125052550627148,0.0187152833880389
2007,0.000783400295652356,0.00149244530730648,0.00254387368405125,0.00443061074225395,0.00585173032108232,0.00883175876103274,0.0119055810584104,0.0163934727625466
2008,0.000845138483992255,0.00131149303720853,0.00245937155868309,0.00426202059807305,0.00614947107770144,0.0102444721479214,0.0126492227547271,0.0168081956829546
2009,0.000629859867766687,0.00134029700068096,0.00249790112324707,0.00416178924945262,0.00550624610762285,0.0094455372321494,0.0124374851728114,0.0177411464924997
2010,0.000751596871863542,0.00127211516766193,0.0025413955120207,0.00432791314890762,0.00624450326147099,0.00903858509980904,0.0122688684103551,0.0176179733049792
2011,0.000922417697720841,0.00139511397634756,0.00272282644267009,0.00460393327167201,0.0065185446221617,0.00909854476846463,0.0132457755349635,0.0177659772803692
2012,0.000783556681792713,0.00136411483058366,0.00253983910503627,0.00420650827589428,0.00650362881065918,0.00990435882454604,0.0119157931094475,0.0163700023065303
2013,0.000751293145880418,0.00141744026406679,0.00247285032476543,0.00419943216357208,0.00683734337109136,0.010435849745248,0.012512926565476,0.0174154827032106
2014,0.000763403949440395,0.00125287321269095,0.00222480152361658,0.00411090577078693,0.00646784690409882,0.00911265125820184,0.0137319466451519,0.0179469072004038
2015,0.000731516671921596,0.00139651468819073,0.0022577741776201,0.0040290511102168,0.00626255340105441,0.00951107801514866,0.0134171652487379,0.0174924190658419
2016,0.000883972637706277,0.00137569637250054,0.00222163124121018,0.00426366179871755,0.00660391513165617,0.00970769078308159,0.0117493810670979,0.0184071196379513
2017,0.000984629736426085,0.00132744626705131,0.00240069494925027,0.00413450265783252,0.00690176951178168,0.00961681221705732,0.0121405557365679,0.0176176309729059
2018,0.00091927871010419,0.00153979902212372,0.00244663582667634,0.00413386799008306,0.00627872386120651,0.0103538761044492,0.0123363055365472,0.018647379999153
2019,0.000918326721282723,0.00145710505027934,0.00224357673987053,0.0040534459968207,0.00579413356196668,0.00970887093006786,0.0126924302175223,0.0196818191709071
2020,0.00073345553325271,0.00122877062979128,0.0021710844847926,0.00401610939196364,0.00606843626751779,0.00941798753022117,0.0123415464529654,0.0167128707843163
2021,0.000692967639611787,0.00114058712800827,0.00201758409778584,0.00389163738520875,0.00594277873932984,0.00931302064569392,0.0122099557634237,0.0161198262891047
2022,0.000659989088506825,0.00106993196800606,0.00189446399548616,0.00378783673647816,0.00583695540293722,0.00922381993980927,0.0120980794185138,0.0156274023332939
2023,0.000630980913097532,0.00100868426197702,0.00178763587958525,0.00369460588982095,0.00574107582689069,0.00914235038197133,0.0119958583702388,0.0151868136069944
2024,0.000604607213582414,0.000953754240052157,0.00169174231328428,0.00360817035013052,0.00565145713957104,0.00906562754124563,0.0118995568135479,0.0147798001710633
2025,0.00058019644790337,0.000903572810319665,0.00160406438896612,0.00352665817917865,0.00556628111256523,0.00899218268303925,0.0118073364749987,0.0143972855922118
2026,0.000557355111251365,0.000857209135083347,0.00152299040979518,0.00344899112526748,0.00548450658280109,0.00892117818986529,0.011718149158067,0.0140340264476447
2027,0.000535828536737167,0.000814052293706202,0.00144746350594388,0.00337448572637424,0.00540547848122385,0.00885208976771492,0.0116313388922146,0.0136866870044091
2028,0.000515439745966446,0.000773671256847593,0.00137673868159092,0.00330267835765177,0.00532875646351541,0.00878456723164562,0.0115464676531872,0.0133529945553351
2029,0.000496058887554011,0.000735744798808994,0.00131026122182767,0.0032332379371231,0.00525402945408842,0.00871836512084083,0.0114632285037055,0.0130313178507611
