"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000640250346733585,0.0014556286935308,0.00284645220938092,0.00463256638660686,0.00685831820998365,0.0101515851313848,0.0141160118507168,0.0209149325693556
2004,0.000731468999388319,0.00140883164772077,0.00295140314602696,0.00522863581766598,0.00733492063203303,0.010145661891293,0.0140450534227687,0.0212456189825871
2005,0.000742192642213886,0.00160272069941337,0.00314834247459748,0.00525542978323618,0.00701853373555558,0.0105413510945115,0.0139696343993483,0.022973491719116
2006,0.000768200547271684,0.00157254701847839,0.00310826823715417,0.00481331299975666,0.00763970401837626,0.0106461385398505,0.0142095225243522,0.0225825165371529
2007,0.000736036022452053,0.0015129549987809,0.00278512323078002,0.00518018580493726,0.00667880607995973,0.0101183126366655,0.0139534164902368,0.020395428879911
2008,0.000867493535909437,0.00146476748711451,0.00287490390145258,0.00497290545941348,0.0074122766120785,0.0117581219712987,0.0151381087760995,0.0208488978992264
2009,0.000789120849564074,0.00157214785208843,0.00290695883484385,0.00508182969755691,0.00701818301360854,0.0115011741364299,0.0151861324038949,0.0225569246575356
2010,0.000846783400135234,0.00150458457577812,0.00308758146154678,0.00541239121705345,0.00789836987311304,0.0112419168841387,0.0154515553335102,0.0229493626942404
2011,0.000814319143595637,0.00151173327274126,0.00284485150749237,0.00507926122744102,0.00720058978883291,0.0108470834137712,0.0160820297695432,0.0222028536957057
2012,0.00086012195457664,0.00142290882089089,0.00266457569432396,0.00467043446406345,0.00779929433680451,0.0124507948235408,0.0150901372335455,0.0201878777283638
2013,0.000783869815186363,0.00159779001839228,0.00274558761501156,0.00487487348905181,0.00855579158279049,0.0129439444629109,0.0164610010824181,0.0224490450602122
2014,0.000764075279960904,0.00160126325909783,0.0025693968482943,0.00485556273630085,0.00795519965062527,0.0116498843055103,0.0171972273905499,0.0231756537751452
2015,0.000732197452927855,0.00162561344530139,0.00261574032376798,0.0048301524405474,0.00780016903760901,0.0118627220499162,0.0177107651747399,0.0230724832108635
2016,0.00103276032876114,0.00165931811881637,0.0029597894590203,0.00520324088680394,0.00844903979599981,0.0131287844919455,0.0157414872244381,0.0248022449585789
2017,0.00096698564063479,0.00175602840517604,0.00327667928146641,0.0053852191619338,0.0094772282989646,0.0132068705654061,0.0166366972557126,0.0245264513917227
2018,0.001122266650993,0.00195874092370379,0.00342090651489164,0.00544445606270618,0.00891225939507791,0.0146384901686519,0.0180877123566404,0.0276899032925169
2019,0.00101153299816187,0.00192172327796831,0.00320365672583885,0.00574638267222814,0.00850132784632398,0.0139046877447284,0.0196466186097178,0.0305429813976964
2020,0.000972255491357474,0.00175788873170826,0.00309773221622372,0.00532443021497667,0.00857638229090952,0.0133220827550504,0.01735513169302,0.0257746897261837
2021,0.000942791482837619,0.00172466484486137,0.00306563439110781,0.00527893850736692,0.0084144582071017,0.0130041466164573,0.0170332959152464,0.0252208117903555
2022,0.000923733141036655,0.00170296415083837,0.00304451742062135,0.00524896403603738,0.00830869323102546,0.0127973574023998,0.0168230204448575,0.0248598331724528
2023,0.000909522446212005,0.00168667231928978,0.00302858340094323,0.00522632225491909,0.00822928907346127,0.0126425694442741,0.0166651223640649,0.0245892458334896
2024,0.000898134942949826,0.00167354721631682,0.00301569565851496,0.00520799379191099,0.00816531853247724,0.012518157105328,0.0165378946940618,0.0243715169448916
2025,0.000888590022576395,0.00166249706840955,0.00300480971514964,0.00519250145965353,0.00811146072292097,0.0124136140951986,0.0164307658246653,0.0241883921520615
2026,0.000880336105675534,0.00165290510110428,0.00299533361436629,0.00517900749348242,0.00806470970040006,0.0123230162595513,0.0163377627442068,0.0240295691410468
2027,0.0008730322297048,0.00164438865203555,0.00298689908960444,0.00516699040382635,0.00802320048980551,0.0122426939482157,0.0162551792244901,0.023888661395004
2028,0.000866453317525744,0.00163669432061151,0.00297926170059992,0.00515610387476713,0.00798569809027289,0.0121702204265576,0.0161805607456642,0.023761442751024
2029,0.000860443384311251,0.00162964601160785,0.00297225123148915,0.00514610664459135,0.00795134426079946,0.0121039112948232,0.0161122014472156,0.023644978151329
