"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000165177862865686,0.000321187138322578,0.000550244416553127,0.00110671515145124,0.00183548332343405,0.00295657778790218,0.00565646732719449,0.0102292498048632
2004,0.000154236529342651,0.000299510063490836,0.000542140904902778,0.0010208494787549,0.00164123133769965,0.00283211441843273,0.00463111311330624,0.00853120548725288
2005,0.000157701454536604,0.00028353144640518,0.000525268897159696,0.000941764741962616,0.00171260911918653,0.00276579385014013,0.004725263436426,0.00822711105449065
2006,0.000159022863203802,0.000261403067154152,0.000497406253869785,0.000896180740822841,0.00159903999517454,0.00268361045099833,0.00450562830640936,0.00770919217957029
2007,0.000136757070867096,0.000257214091846704,0.000478738018857439,0.000847456424378687,0.00154734465352333,0.00245855580422209,0.00417670685670325,0.00809725567268863
2008,0.000119238576508025,0.000256152961652785,0.000461172664198308,0.000857070421713552,0.00145240390668345,0.00235307396758502,0.00375598645405911,0.00688433039113064
2009,0.000141955257641205,0.000226504989078114,0.000434069044487456,0.000792245128005543,0.00143363973944395,0.00215874542314624,0.00370556818105063,0.00614768705535746
2010,0.000143898166833525,0.000251542971468002,0.000431878908226698,0.000787614290192302,0.00144036052747987,0.00222207890229162,0.00381660445442019,0.00665071283668997
2011,0.000153953262881239,0.000268898409866833,0.000457878953396588,0.000771380760791318,0.00130663712483565,0.00246529240105571,0.00382817132754983,0.00656263673672811
2012,0.00013680799078942,0.000250708308219244,0.000435711415775627,0.000782567755025068,0.00137826641279226,0.00236568640645069,0.00366044230076961,0.00640167681648485
2013,0.000136655817687903,0.000243365221370545,0.000431297899988578,0.000736772125420738,0.00132690385426835,0.00232331985743412,0.00360735237638751,0.00601164704337027
2014,0.000143604798286437,0.000247106538391815,0.000392681245340652,0.000758799137224201,0.00135942889988723,0.00222766451443403,0.00376038868365338,0.00595686959323418
2015,0.000138817078818178,0.000233366619626805,0.000391860616860383,0.000681078748272982,0.00119934869245819,0.00231518394785039,0.00374052971130818,0.00624555142917596
2016,0.000163011367858261,0.000228773346692171,0.000406895946024335,0.000722514805020784,0.00120079749439749,0.00223745800942501,0.00362618476553608,0.00617024399767897
2017,0.000141727189399506,0.000211204142744867,0.000393393152162506,0.000713831010726021,0.00123518839757437,0.00210802078462363,0.00352446920311272,0.00578792758750558
2018,0.000127018248816756,0.00020534924174427,0.000396201563512994,0.000688939365184019,0.00121701657751165,0.00202982614185924,0.00350638007624439,0.00587008475856077
2019,0.000146253327389326,0.000244719807402747,0.000392719627421769,0.000633427629406081,0.00105647177697445,0.00193225930553221,0.00333818935146985,0.00541585181156645
2020,0.000137859785960116,0.000224464654928165,0.000393863382631047,0.000683114528922567,0.00119955170039253,0.00208988555222644,0.00340841523729566,0.00565110934695913
2021,0.000137910986969879,0.000224660428134089,0.000394243279999069,0.000683960479056142,0.00120097030910422,0.00209190173737968,0.00341228345770617,0.00565918951608299
2022,0.000137714095047848,0.000223908124209199,0.000392783627941099,0.000680711410749391,0.00119552138070057,0.00208415509777256,0.00339742447314206,0.00562816418488852
2023,0.000137399922554653,0.00022271070205633,0.000390461409699019,0.000675549399766672,0.00118686189631001,0.0020718306740778,0.00337380482159152,0.00557891924774208
2024,0.000137017254572142,0.00022125719612611,0.000387644331759246,0.000669299061536405,0.0011763727102838,0.00205687996204446,0.00334518515425528,0.00551936961035695
2025,0.000136590160958345,0.000219641394622273,0.000384515003371914,0.000662371020185404,0.00116474106366772,0.00204027210933007,0.00331343625321989,0.00545346356245082
2026,0.000136132386250812,0.000217917063497802,0.000381178172391573,0.000655001192978317,0.00115236168057499,0.00202256303664043,0.00327963233484122,0.00538347166851156
2027,0.000135652534213243,0.000216117942455239,0.000377699590374988,0.000647337755226949,0.0011394824585098,0.00200410170264926,0.00324444797733974,0.00531082027622976
2028,0.000135156344826149,0.000214266566220342,0.000374123172335409,0.000639479633354567,0.00112626892186833,0.00198512117443829,0.00320833364504017,0.00523646110449999
2029,0.000134647831779992,0.00021237868917359,0.000370479610380686,0.000631495871136803,0.0011128366340391,0.00196578434196695,0.0031716039201861,0.00516105748616584
