"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000900794974948924,0.00181633296032998,0.00319105766283244,0.00462942422589163,0.00690379383830669,0.0101688540522685,0.0137294824034434,0.0204869840937854
2004,0.0009576163490547,0.00168564343307942,0.00308877026076714,0.00480372332824817,0.00691029064053058,0.00983563225514932,0.0132004592038211,0.0199900718677548
2005,0.000894496804838322,0.00172336558328746,0.00299119373458853,0.00481974471636382,0.00609505186601742,0.00966722076981623,0.0127291834967858,0.0197523335150253
2006,0.000838517572886784,0.00168433388799681,0.00297164083102953,0.00423016050518495,0.0065262088171721,0.00969802569980801,0.0125052550627148,0.0187152833880389
2007,0.000783400295652356,0.00149244530730648,0.00254387368405125,0.00443061074225395,0.00585173032108232,0.00883175876103274,0.0119055810584104,0.0163934727625466
2008,0.000845138483992255,0.00131149303720853,0.00245937155868309,0.00426202059807305,0.00614947107770144,0.0102444721479214,0.0126492227547271,0.0168081956829546
2009,0.000629859867766687,0.00134029700068096,0.00249790112324707,0.00416178924945262,0.00550624610762285,0.0094455372321494,0.0124374851728114,0.0177411464924997
2010,0.000751596871863542,0.00127211516766193,0.0025413955120207,0.00432791314890762,0.00624450326147099,0.00903858509980904,0.0122688684103551,0.0176179733049792
2011,0.000922417697720841,0.00139511397634756,0.00272282644267009,0.00460393327167201,0.0065185446221617,0.00909854476846463,0.0132457755349635,0.0177659772803692
2012,0.000783556681792713,0.00136411483058366,0.00253983910503627,0.00420650827589428,0.00650362881065918,0.00990435882454604,0.0119157931094475,0.0163700023065303
2013,0.000751293145880418,0.00141744026406679,0.00247285032476543,0.00419943216357208,0.00683734337109136,0.010435849745248,0.012512926565476,0.0174154827032106
2014,0.000763403949440395,0.00125287321269095,0.00222480152361658,0.00411090577078693,0.00646784690409882,0.00911265125820184,0.0137319466451519,0.0179469072004038
2015,0.000731516671921596,0.00139651468819073,0.0022577741776201,0.0040290511102168,0.00626255340105441,0.00951107801514866,0.0134171652487379,0.0174924190658419
2016,0.000883972637706277,0.00137569637250054,0.00222163124121018,0.00426366179871755,0.00660391513165617,0.00970769078308159,0.0117493810670979,0.0184071196379513
2017,0.000984629736426085,0.00132744626705131,0.00240069494925027,0.00413450265783252,0.00690176951178168,0.00961681221705732,0.0121405557365679,0.0176176309729059
2018,0.00091927871010419,0.00153979902212372,0.00244663582667634,0.00413386799008306,0.00627872386120651,0.0103538761044492,0.0123363055365472,0.018647379999153
2019,0.000918326721282723,0.00145710505027934,0.00224357673987053,0.0040534459968207,0.00579413356196668,0.00970887093006786,0.0126924302175223,0.0196818191709071
2020,0.000897909246035001,0.00160212455098522,0.00281923015908787,0.00449281614698714,0.00653810211793673,0.00980165959646724,0.0128219951330339,0.0190086811318866
2021,0.000930178026896988,0.00167805476428992,0.00295074166451461,0.0045816336412002,0.00662372002007391,0.00987020474750186,0.0129077427936659,0.0194405326306174
2022,0.000955905746803346,0.00173918559979044,0.00305655389586674,0.00465146780273064,0.00669064805992122,0.00992350086170851,0.0129743964917371,0.0197809524787349
2023,0.000978607192448563,0.00179355355149043,0.00315061205135767,0.00471239512186666,0.00674876508234375,0.00996958010253015,0.013032011982031,0.0200785712590433
2024,0.000999595054267246,0.00184416854307351,0.00323813804751351,0.00476816557242647,0.00680174253830344,0.0100114240556061,0.0130843218003899,0.0203514980547806
2025,0.00101951860387791,0.00189252417512282,0.00332172253482798,0.00482062710562952,0.00685138739942302,0.0100504986319458,0.0131331609748995,0.0206086622324065
2026,0.0010387499838557,0.00193947996506623,0.00340285591399178,0.00487083451054896,0.00689872973381844,0.0100876386470187,0.0131795744804259,0.0208551638567179
2027,0.00105752337743129,0.00198557950910061,0.00348248043135802,0.00491944830126653,0.00694441367541615,0.0101233656142384,0.013224215089397,0.0210941989330681
2028,0.00107599612933906,0.0020311903409036,0.00356123285688785,0.00496690965986301,0.00698886879125396,0.0101580269592309,0.013267517651353,0.0213279039947704
2029,0.00109427927974378,0.00207657386005245,0.0036395658148565,0.00501352772140235,0.00703239553553312,0.0101918654046328,0.0133097859521063,0.0215577775964538
