"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000640250346733585,0.0014556286935308,0.00284645220938092,0.00463256638660686,0.00685831820998365,0.0101515851313848,0.0141160118507168,0.0209149325693556
2004,0.000731468999388319,0.00140883164772077,0.00295140314602696,0.00522863581766598,0.00733492063203303,0.010145661891293,0.0140450534227687,0.0212456189825871
2005,0.000742192642213886,0.00160272069941337,0.00314834247459748,0.00525542978323618,0.00701853373555558,0.0105413510945115,0.0139696343993483,0.022973491719116
2006,0.000768200547271684,0.00157254701847839,0.00310826823715417,0.00481331299975666,0.00763970401837626,0.0106461385398505,0.0142095225243522,0.0225825165371529
2007,0.000736036022452053,0.0015129549987809,0.00278512323078002,0.00518018580493726,0.00667880607995973,0.0101183126366655,0.0139534164902368,0.020395428879911
2008,0.000867493535909437,0.00146476748711451,0.00287490390145258,0.00497290545941348,0.0074122766120785,0.0117581219712987,0.0151381087760995,0.0208488978992264
2009,0.000789120849564074,0.00157214785208843,0.00290695883484385,0.00508182969755691,0.00701818301360854,0.0115011741364299,0.0151861324038949,0.0225569246575356
2010,0.000846783400135234,0.00150458457577812,0.00308758146154678,0.00541239121705345,0.00789836987311304,0.0112419168841387,0.0154515553335102,0.0229493626942404
2011,0.000814319143595637,0.00151173327274126,0.00284485150749237,0.00507926122744102,0.00720058978883291,0.0108470834137712,0.0160820297695432,0.0222028536957057
2012,0.00086012195457664,0.00142290882089089,0.00266457569432396,0.00467043446406345,0.00779929433680451,0.0124507948235408,0.0150901372335455,0.0201878777283638
2013,0.000783869815186363,0.00159779001839228,0.00274558761501156,0.00487487348905181,0.00855579158279049,0.0129439444629109,0.0164610010824181,0.0224490450602122
2014,0.000764075279960904,0.00160126325909783,0.0025693968482943,0.00485556273630085,0.00795519965062527,0.0116498843055103,0.0171972273905499,0.0231756537751452
2015,0.000732197452927855,0.00162561344530139,0.00261574032376798,0.0048301524405474,0.00780016903760901,0.0118627220499162,0.0177107651747399,0.0230724832108635
2016,0.00103276032876114,0.00165931811881637,0.0029597894590203,0.00520324088680394,0.00844903979599981,0.0131287844919455,0.0157414872244381,0.0248022449585789
2017,0.00096698564063479,0.00175602840517604,0.00327667928146641,0.0053852191619338,0.0094772282989646,0.0132068705654061,0.0166366972557126,0.0245264513917227
2018,0.001122266650993,0.00195874092370379,0.00342090651489164,0.00544445606270618,0.00891225939507791,0.0146384901686519,0.0180877123566404,0.0276899032925169
2019,0.00101153299816187,0.00192172327796831,0.00320365672583885,0.00574638267222814,0.00850132784632398,0.0139046877447284,0.0196466186097178,0.0305429813976964
2020,0.00126220347999729,0.00206667499226879,0.00338383071116302,0.00572635919766605,0.0100811753016392,0.0163509148684931,0.0203410496254083,0.0309890468714832
2021,0.00137835989387963,0.00218262085437348,0.00348617576026426,0.00586866452763019,0.0106461455883264,0.0175207270213418,0.0214599671175215,0.0329759760465283
2022,0.0014897049253728,0.00229032413916097,0.00357905451213088,0.00599717127499425,0.0111709239367824,0.0186223068136907,0.0224983278717497,0.034834819591069
2023,0.00160214514393772,0.00239602410701738,0.00366829604026181,0.00612009306438851,0.0116859160337932,0.0197168814359635,0.0235164725297324,0.0366709044932593
2024,0.00171807526883365,0.00250209258512757,0.00375606883066417,0.00624047883953602,0.0122026796124973,0.0208282590760383,0.0245373090793072,0.0385247052501133
2025,0.00183886923826293,0.00260975598506864,0.00384344982999645,0.00635983586083774,0.012727190103593,0.02196923450531,0.0255726550425393,0.040417545943587
2026,0.00196549646249502,0.00271977085260098,0.00393106413275943,0.00647903247591939,0.0132631329255785,0.0231481314272931,0.0266297759239497,0.0423629322458342
2027,0.00209874176120668,0.00283266495024539,0.00401931382688583,0.00659862127587832,0.0138130784052468,0.0243711354968893,0.0277137187663783,0.0443705934770442
2028,0.00223930171477795,0.00294884231069087,0.00410847787145315,0.00671898020551457,0.0143789937578651,0.02564331155766,0.0288283290319788,0.0464482441158394
2029,0.00238783317798104,0.00306863540402188,0.00419876171295868,0.00684038269171942,0.0149624973241947,0.0269691101450343,0.0299767555245698,0.0486024593792226
